Product,Manufacturer,Width & Length,Thickness,Price,Twickenham,Richmond
Borders Offset Stripe Border AR0B7000,Amtico,13 (w) x 2.5 (l),2.5 (t),£19.99 per SQM,,
Borders Broad Stripe Border AR0B6500,Amtico,13 (w) x 2.5 (l),2.5 (t),£19.99 per SQM,,
Borders Square Border AR0B6200,Amtico,13 (w) x 2.5 (l),2.5 (t),£19.99 per SQM,,
Borders Pyramid Border AR0B6000,Amtico,13 (w) x 2.5 (l),2.5 (t),£19.99 per SQM,,
Borders Art Deco Border AR0B5100,Amtico,13 (w) x 2.5 (l),2.5 (t),£19.99 per SQM,,
Borders Bevelled Diamond Border AR0B270B,Amtico,13 (w) x 2.5 (l),2.5 (t),£19.99 per SQM,,
Borders Ellipse Grand Diamond Border AR0B7200,Amtico,13 (w) x 2.5 (l),2.5 (t),£19.99 per SQM,,
Borders Etch Border AR0B8030/AR0B8060,Amtico,13 (w) x 2.5 (l),2.5 (t),£38.99 per SQM,,
Motifs Muralist DC326,Amtico,Various (w) x 2.5 (l),2.5 (t),£175.99 per SQM,,
Motifs Muralist DC325,Amtico,Various (w) x 2.5 (l),2.5 (t),£175.99 per SQM,,
Motifs Muralist DC327,Amtico,Various (w) x 2.5 (l),2.5 (t),£175.99 per SQM,,
Motifs Muralist DC328,Amtico,Various (w) x 2.5 (l),2.5 (t),£175.99 per SQM,,
Motifs Lotus AR0MC400,Amtico,Various (w) x 2.5 (l),2.5 (t),£269.99 per SQM,,
Motifs Pavilion AR0MC950,Amtico,Various (w) x 2.5 (l),2.5 (t),£269.99 per SQM,,
Motifs Apollo AR0MC230,Amtico,Various (w) x 2.5 (l),2.5 (t),£114.99 per SQM,,
Motifs Manhattan AR0MC220,Amtico,Various (w) x 2.5 (l),2.5 (t),£249.99 per SQM,,
Motifs Myron AR0MC160,Amtico,Various (w) x 2.5 (l),2.5 (t),£134.99 per SQM,,
Motifs Small Star AR0MC300,Amtico,Various (w) x 2.5 (l),2.5 (t),£164.99 per SQM,,
Motifs Cassini Oval AR0MC190,Amtico,Various (w) x 2.5 (l),2.5 (t),£109.99 per SQM,,
Motifs Origami AR0MC200,Amtico,Various (w) x 2.5 (l),2.5 (t),£164.99 per SQM,,
Motifs Constellation AR0MC210,Amtico,Various (w) x 2.5 (l),2.5 (t),£179.99 per SQM,,
Corners Décor Classic Mono DC257C,Amtico,Various (w) x 2.5 (l),2.5 (t),£21.99 per SQM,,
Corners Square Corner AR0C4001,Amtico,Various (w) x 2.5 (l),2.5 (t),£21.99 per SQM,,
Corners Feature Corner AR0C4002,Amtico,Various (w) x 2.5 (l),2.5 (t),£21.99 per SQM,,
