Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Carpet Installation - Seam Doorway (Each),INS63902CAR,Installer,20.0,20.0,24.166666666666664,Carpet,Installation,"Carpet Installation - Seam Doorway (Each), Carpet, Installation",
"Carpet Installation - Runner Template (Straight, Off Site)",INS56349CAR,Installer,50.0,50.0,58.33333333333333,Carpet,Installation,"Carpet Installation - Runner Template (Straight, Off Site), Carpet, Installation",
Carpet Installation - Runner Template (Straight Flight),INS76241CAR,Installer,75.0,75.0,83.33333333333334,Carpet,Installation,"Carpet Installation - Runner Template (Straight Flight), Carpet, Installation",
Carpet Installation - Runner Template (Winder Flight),INS60599CAR,Installer,100.0,100.0,125.0,Carpet,Installation,"Carpet Installation - Runner Template (Winder Flight), Carpet, Installation",
Carpet Installation - Adhere Gripper,INS61158CAR,Installer,1.0,1.0,1.25,Carpet,Installation,"Carpet Installation - Adhere Gripper, Carpet, Installation",
Carpet Tile Installation,INS83421CAR,Installer,8.0,8.0,9.166666666666666,Carpet,Installation,"Carpet Tile Installation, Carpet, Installation",
Carpet Tile Installation (Minimum),INS69314CAR,Installer,100.0,100.0,116.66666666666666,Carpet,Installation,"Carpet Tile Installation (Minimum), Carpet, Installation",
Carpet Installation Premium - Heavy / Large,INS62539CAR,Installer,4.0,4.0,4.583333333333333,Carpet,Installation,"Carpet Installation Premium - Heavy / Large, Carpet, Installation",
Paper Felt Installation,INS86464CAR,Installer,1.0,1.0,1.25,Carpet,Installation,"Paper Felt Installation, Carpet, Installation",
Vinyl Installation - Loose Lay,INS41353SHE,Installer,8.0,8.0,9.166666666666666,Sheet Vinyl,Installation,"Vinyl Installation - Loose Lay, Sheet Vinyl, Installation",
Vinyl Installation - Full Adhere,INS71439VIN,Installer,12.0,12.0,14.166666666666668,Vinyl,Installation,"Vinyl Installation - Full Adhere, Vinyl, Installation",
Vinyl Installation - Loose Lay (Minimum),INS31512VIN,Installer,100.0,100.0,116.66666666666666,Vinyl,Installation,"Vinyl Installation - Loose Lay (Minimum), Vinyl, Installation",
Vinyl Installation - Full Adhere (Minimum),INS31972VIN,Installer,150.0,150.0,175.0,Vinyl,Installation,"Vinyl Installation - Full Adhere (Minimum), Vinyl, Installation",
Vinyl Installation - Step,INS76906VIN,Installer,50.0,50.0,58.33333333333333,Vinyl,Installation,"Vinyl Installation - Step, Vinyl, Installation",
Vinyl Installation - Miscellaneous,INS38551VIN,Installer,1.0,1.0,1.15,Vinyl,Installation,"Vinyl Installation - Miscellaneous, Vinyl, Installation",
Ply Installation - 12mm,INS54620VIN,Installer,35.0,35.0,40.83333333333333,Vinyl,Sub floor works,"Ply Installation - 12mm, Vinyl, Sub floor works",
Smoothing Compound Installation,INS30266GEN,Installer,45.0,45.0,54.16666666666667,General,Sub floor works,"Smoothing Compound Installation, Vinyl, Sub floor works",
Acrylic DPM Installation,INS69728GEN,Installer,8.0,8.0,9.583333333333334,General,Sub floor works,"Acrylic DPM Installation, Vinyl, Sub floor works",
Acrylic DPM Installation (Minimum),INS36069GEN,Installer,300.0,300.0,354.16666666666663,General,Sub floor works,"Acrylic DPM Installation (Minimum), Vinyl, Sub floor works",
Moisture Suppressant Installation,INS73958GEN,Installer,8.0,8.0,9.583333333333334,General,Sub floor works,"Moisture Suppressant Installation, Vinyl, Sub floor works",
Moisture Suppressant Installation (Minimum),INS61476GEN,Installer,300.0,300.0,354.16666666666663,General,Sub floor works,"Moisture Suppressant Installation (Minimum), Vinyl, Sub floor works",
LVT Installation - Plank,INS81790LVT,Installer,18.0,18.0,20.833333333333336,LVT,Installation,"LVT Installation - Plank, LVT, Installation",
LVT Installation - Tile,INS82140LVT,Installer,18.0,18.0,20.833333333333336,LVT,Installation,"LVT Installation - Tile, LVT, Installation",
LVT Installation - Herringbone,INS82037LVT,Installer,25.0,25.0,29.166666666666664,LVT,Installation,"LVT Installation - Herringbone, LVT, Installation",
LVT Installation - Small Herringbone,INS83828LVT,Installer,30.0,30.0,35.0,LVT,Installation,"LVT Installation - Small Herringbone, LVT, Installation",
