SKU,Product,Manufacturer,Category,Material,Width,Sell ex VAT,Sell inc VAT,Colour,Slug,Image URL
RU84272SOP,Sophie Cooney Eye Design (60 CM),Sophie Cooney Runners,Runner,"100% NZ Wool, (Handwoven)",600,329.16666666666663,395.0,Clay,sophie-cooney-eye-design-60-cm-clay,product-images/runner/sophie-cooney-runners/sophie-cooney-eye-design-60-cm/sophie-cooney-eye-design-60-cm-clay.jpg
RU84272SOP,Sophie Cooney Eye Design (60 CM),Sophie Cooney Runners,Runner,"100% NZ Wool, (Handwoven)",600,329.16666666666663,395.0,Green,sophie-cooney-eye-design-60-cm-green,product-images/runner/sophie-cooney-runners/sophie-cooney-eye-design-60-cm/sophie-cooney-eye-design-60-cm-green.jpg
RU49672SOP,Sophie Cooney Eye Design (70 CM),Sophie Cooney Runners,Runner,"100% NZ Wool, (Handwoven)",700,354.16666666666663,425.0,Blue,sophie-cooney-eye-design-70-cm-blue,product-images/runner/sophie-cooney-runners/sophie-cooney-eye-design-70-cm/sophie-cooney-eye-design-70-cm-blue.jpg
RU49672SOP,Sophie Cooney Eye Design (70 CM),Sophie Cooney Runners,Runner,"100% NZ Wool, (Handwoven)",700,354.16666666666663,425.0,Clay,sophie-cooney-eye-design-70-cm-clay,product-images/runner/sophie-cooney-runners/sophie-cooney-eye-design-70-cm/sophie-cooney-eye-design-70-cm-clay.jpg
RU49672SOP,Sophie Cooney Eye Design (70 CM),Sophie Cooney Runners,Runner,"100% NZ Wool, (Handwoven)",700,354.16666666666663,425.0,Green,sophie-cooney-eye-design-70-cm-green,product-images/runner/sophie-cooney-runners/sophie-cooney-eye-design-70-cm/sophie-cooney-eye-design-70-cm-green.jpg
RU38382SOP,Sophie Cooney Fortis Design (60 CM),Sophie Cooney Runners,Runner,"100% NZ Wool, (Handwoven)",600,329.16666666666663,395.0,Black,sophie-cooney-fortis-design-60-cm-black,product-images/runner/sophie-cooney-runners/sophie-cooney-fortis-design-60-cm/sophie-cooney-fortis-design-60-cm-black.jpg
RU51515SOP,Sophie Cooney Fortis Design (70 CM),Sophie Cooney Runners,Runner,"100% NZ Wool, (Handwoven)",700,354.16666666666663,425.0,Black,sophie-cooney-fortis-design-70-cm-black,product-images/runner/sophie-cooney-runners/sophie-cooney-fortis-design-70-cm/sophie-cooney-fortis-design-70-cm-black.jpg
RU75637SOP,Sophie Cooney Safari (60 CM),Sophie Cooney Runners,Runner,"100% NZ Wool, (Handwoven)",600,329.16666666666663,395.0,Red,sophie-cooney-safari-60-cm-red,product-images/runner/sophie-cooney-runners/sophie-cooney-safari-60-cm/sophie-cooney-safari-60-cm-red.jpg
RU75637SOP,Sophie Cooney Safari (60 CM),Sophie Cooney Runners,Runner,"100% NZ Wool, (Handwoven)",600,329.16666666666663,395.0,Yellow,sophie-cooney-safari-60-cm-yellow,product-images/runner/sophie-cooney-runners/sophie-cooney-safari-60-cm/sophie-cooney-safari-60-cm-yellow.jpg
RU28813SOP,Sophie Cooney Safari (70 CM),Sophie Cooney Runners,Runner,"100% NZ Wool, (Handwoven)",700,354.16666666666663,425.0,Red,sophie-cooney-safari-70-cm-red,product-images/runner/sophie-cooney-runners/sophie-cooney-safari-70-cm/sophie-cooney-safari-70-cm-red.jpg
RU28813SOP,Sophie Cooney Safari (70 CM),Sophie Cooney Runners,Runner,"100% NZ Wool, (Handwoven)",700,354.16666666666663,425.0,Yellow,sophie-cooney-safari-70-cm-yellow,product-images/runner/sophie-cooney-runners/sophie-cooney-safari-70-cm/sophie-cooney-safari-70-cm-yellow.jpg
