SKU,Product,Manufacturer,Category,Width,Length,Thickness,Sell ex VAT,Sell inc VAT,Colour,Slug,Image URL
RE76271LAM,Ivalo,Lamett,Vinyl,176,1213,4+1,49.16666666666667,59.0,Cane,ivalo-cane,product-images/vinyl/lamett/ivalo/ivalo-cane.jpg
RE76271LAM,Ivalo,Lamett,Vinyl,176,1213,4+1,49.16666666666667,59.0,Dark Malt,ivalo-dark-malt,product-images/vinyl/lamett/ivalo/ivalo-dark-malt.jpg
RE76271LAM,Ivalo,Lamett,Vinyl,176,1213,4+1,49.16666666666667,59.0,Flax,ivalo-flax,product-images/vinyl/lamett/ivalo/ivalo-flax.jpg
RE76271LAM,Ivalo,Lamett,Vinyl,176,1213,4+1,49.16666666666667,59.0,Oat,ivalo-oat,product-images/vinyl/lamett/ivalo/ivalo-oat.jpg
RE76271LAM,Ivalo,Lamett,Vinyl,176,1213,4+1,49.16666666666667,59.0,Roasted Bean,ivalo-roasted-bean,product-images/vinyl/lamett/ivalo/ivalo-roasted-bean.jpg
RE76271LAM,Ivalo,Lamett,Vinyl,176,1213,4+1,49.16666666666667,59.0,Rye,ivalo-rye,product-images/vinyl/lamett/ivalo/ivalo-rye.jpg
RE55792WOO,Brecon Glacial Oak,Woodpecker,Vinyl,180,1220,6,44.16666666666667,53.0,,brecon-glacial-oak,product-images/vinyl/woodpecker/brecon-glacial-oak.jpg
RE52862WOO,Brecon Ivory Oak,Woodpecker,Vinyl,180,1220,6,44.16666666666667,53.0,,brecon-ivory-oak,product-images/vinyl/woodpecker/brecon-ivory-oak.jpg
RE42022WOO,Brecon Barley Oak,Woodpecker,Vinyl,180,1220,6,44.16666666666667,53.0,,brecon-barley-oak,product-images/vinyl/woodpecker/brecon-barley-oak.jpg
RE70729WOO,Brecon Dove Oak,Woodpecker,Vinyl,180,1220,6,44.16666666666667,53.0,,brecon-dove-oak,product-images/vinyl/woodpecker/brecon-dove-oak.jpg
RE89437WOO,Brecon Blanche Oak,Woodpecker,Vinyl,180,1220,6,44.16666666666667,53.0,,brecon-blanche-oak,product-images/vinyl/woodpecker/brecon-blanche-oak.jpg
RE15526WOO,Brecon Seashell Oak,Woodpecker,Vinyl,180,1220,6,44.16666666666667,53.0,,brecon-seashell-oak,product-images/vinyl/woodpecker/brecon-seashell-oak.jpg
RE79238WOO,Brecon Warehouse Oak,Woodpecker,Vinyl,180,1220,6,44.16666666666667,53.0,,brecon-warehouse-oak,product-images/vinyl/woodpecker/brecon-warehouse-oak.jpg
RE66059WOO,Brecon River Oak,Woodpecker,Vinyl,180,1220,6,44.16666666666667,53.0,,brecon-river-oak,product-images/vinyl/woodpecker/brecon-river-oak.jpg
RE81095WOO,Brecon Whisper Oak,Woodpecker,Vinyl,180,1220,6,44.16666666666667,53.0,,brecon-whisper-oak,product-images/vinyl/woodpecker/brecon-whisper-oak.jpg
RE64663WOO,Brecon Weathered Oak,Woodpecker,Vinyl,180,1220,6,44.16666666666667,53.0,,brecon-weathered-oak,product-images/vinyl/woodpecker/brecon-weathered-oak.jpg
RE23157WOO,Brecon Valley Oak,Woodpecker,Vinyl,180,1220,6,44.16666666666667,53.0,,brecon-valley-oak,product-images/vinyl/woodpecker/brecon-valley-oak.jpg
RE17499WOO,Brecon Farm Oak,Woodpecker,Vinyl,180,1220,6,44.16666666666667,53.0,,brecon-farm-oak,product-images/vinyl/woodpecker/brecon-farm-oak.jpg
RE68810WOO,Brecon Vintage Oak,Woodpecker,Vinyl,180,1220,6,44.16666666666667,53.0,,brecon-vintage-oak,product-images/vinyl/woodpecker/brecon-vintage-oak.jpg
RE35702WOO,Brecon Heritage Oak,Woodpecker,Vinyl,180,1220,6,44.16666666666667,53.0,,brecon-heritage-oak,product-images/vinyl/woodpecker/brecon-heritage-oak.jpg
RE87187WOO,Brecon Bracken Oak,Woodpecker,Vinyl,180,1220,6,44.16666666666667,53.0,,brecon-bracken-oak,product-images/vinyl/woodpecker/brecon-bracken-oak.jpg
RE91753WOO,Brecon Shoreline Oak,Woodpecker,Vinyl,180,1220,6,44.16666666666667,53.0,,brecon-shoreline-oak,product-images/vinyl/woodpecker/brecon-shoreline-oak.jpg
RE21394WOO,Brecon Vintage Oak Herringbone,Woodpecker,Vinyl,120,600,6,46.66666666666667,56.0,,brecon-vintage-oak-herringbone,product-images/vinyl/woodpecker/brecon-vintage-oak-herringbone.jpg
RE90661WOO,Brecon Shoreline Oak Herringbone,Woodpecker,Vinyl,120,600,6,46.66666666666667,56.0,,brecon-shoreline-oak-herringbone,product-images/vinyl/woodpecker/brecon-shoreline-oak-herringbone.jpg
RE91548WOO,Brecon Whisper Oak Herringbone,Woodpecker,Vinyl,120,600,6,46.66666666666667,56.0,,brecon-whisper-oak-herringbone,product-images/vinyl/woodpecker/brecon-whisper-oak-herringbone.jpg
RE62271WOO,Brecon River Oak Herringbone,Woodpecker,Vinyl,120,600,6,46.66666666666667,56.0,,brecon-river-oak-herringbone,product-images/vinyl/woodpecker/brecon-river-oak-herringbone.jpg
RE70317WOO,Brecon Blanche Oak Herringbone,Woodpecker,Vinyl,120,600,6,46.66666666666667,56.0,,brecon-blanche-oak-herringbone,product-images/vinyl/woodpecker/brecon-blanche-oak-herringbone.jpg
RE89060WOO,Brecon Seashell Oak Herringbone,Woodpecker,Vinyl,120,600,6,46.66666666666667,56.0,,brecon-seashell-oak-herringbone,product-images/vinyl/woodpecker/brecon-seashell-oak-herringbone.jpg
RE47007WOO,Lynton Seagrass Oak,Woodpecker,Vinyl,165,1220,7,56.66666666666667,68.0,,lynton-seagrass-oak,product-images/vinyl/woodpecker/lynton-seagrass-oak.jpg
RE61140WOO,Lynton Chiffon Oak,Woodpecker,Vinyl,165,1220,7,56.66666666666667,68.0,,lynton-chiffon-oak,product-images/vinyl/woodpecker/lynton-chiffon-oak.jpg
