SKU,Product,Manufacturer,Category,Type,Species,Finish,Width,Length,Thickness,Sell ex VAT,Slug,Image URL
WO52271PAN,Bois Flotte - Zenitude (Diva 184) 1016424,Panaget,Wood,Plank,European Oak,Matt Lacquer,184,495 – 1992,12/2.5,71.66666666666667,bois-flotte-zenitude-diva-184-1016424,product-images/wood/panaget/bois-flotte-zenitude-diva-184-1016424.jpg
WO92846PAN,Bois Flotte - Zenitude (Sonate 140) 1007261,Panaget,Wood,Plank,European Oak,Matt Lacquer,140,400 – 1300,14 (Solid),80.0,bois-flotte-zenitude-sonate-140-1007261,product-images/wood/panaget/bois-flotte-zenitude-sonate-140-1007261.jpg
WO26626PAN,Bois Flotte - Zenitude (Sonate 90) 1007293,Panaget,Wood,Plank,European Oak,Matt Lacquer,90,400 – 1300,14 (Solid),77.5,bois-flotte-zenitude-sonate-90-1007293,product-images/wood/panaget/bois-flotte-zenitude-sonate-90-1007293.jpg
WO56818PAN,Bois Flotte – Tradition (Alto 139) 1017696,Panaget,Wood,Plank,European Oak,Matt Lacquer,139,1210,12/2.5,70.0,bois-flotte-tradition-alto-139-1017696,product-images/wood/panaget/bois-flotte-tradition-alto-139-1017696.jpg
WO17545PAN,Café Crème - Authentic (Chevron 139) 1019822,Panaget,Wood,Chevron,European Oak,Matt Lacquer,139,650,14/3.4,98.33333333333334,cafe-creme-authentic-chevron-139-1019822,product-images/wood/panaget/cafe-creme-authentic-chevron-139-1019822.jpg
WO78263PAN,Café Crème - Zenitude (Diva 139) 1019168,Panaget,Wood,Plank,European Oak,Matt Lacquer,139,495 – 1992,12/2.5,58.33333333333333,cafe-creme-zenitude-diva-139-1019168,product-images/wood/panaget/cafe-creme-zenitude-diva-139-1019168.jpg
WO15293PAN,Café Crème - Zenitude (Diva 184) 1019171,Panaget,Wood,Plank,European Oak,Matt Lacquer,184,500 – 2000,14/3.4,74.16666666666667,cafe-creme-zenitude-diva-184-1019171,product-images/wood/panaget/cafe-creme-zenitude-diva-184-1019171.jpg
WO48625PAN,Café Crème - Zenitude (Sonate 140) 1019819,Panaget,Wood,Plank,European Oak,Matt Lacquer,140,400 – 1300,14 (Solid),80.0,cafe-creme-zenitude-sonate-140-1019819,product-images/wood/panaget/cafe-creme-zenitude-sonate-140-1019819.jpg
WO99957PAN,Carmen No 2 - Classic (Panel) 1005714,Panaget,Wood,Design Panel,European Oak,Matt Lacquer,392,392,14/3.2,122.5,carmen-no-2-classic-panel-1005714,product-images/wood/panaget/carmen-no-2-classic-panel-1005714.jpg
WO63925PAN,Carmen No 5 - Classic (Panel) 1005712,Panaget,Wood,Design Panel,European Oak,Matt Lacquer,392,392,14/3.2,122.5,carmen-no-5-classic-panel-1005712,product-images/wood/panaget/carmen-no-5-classic-panel-1005712.jpg
WO44955PAN,Cuir - Authentic (Diva 184) 1014166,Panaget,Wood,Plank,European Oak,Oil,184,500 – 2000,14/3.4,78.33333333333333,cuir-authentic-diva-184-1014166,product-images/wood/panaget/cuir-authentic-diva-184-1014166.jpg
WO94576PAN,Cuir - Authentic (Diva 184) 1014182,Panaget,Wood,Plank,European Oak,Oil,184,500 – 2000,15/4.5,108.33333333333334,cuir-authentic-diva-184-1014182,product-images/wood/panaget/cuir-authentic-diva-184-1014182.jpg
WO73015PAN,Cuir - Origine (Diva 184) 1006550,Panaget,Wood,Plank,European Oak,Oil,184,500 – 2000,14/3.4,80.83333333333334,cuir-origine-diva-184-1006550,product-images/wood/panaget/cuir-origine-diva-184-1006550.jpg
WO65687PAN,Fauve - Zenitude (Diva 139) 1019709,Panaget,Wood,Plank,European Oak,Satin Lacquer,139,495 – 1992,14/3.4,61.66666666666667,fauve-zenitude-diva-139-1019709,product-images/wood/panaget/fauve-zenitude-diva-139-1019709.jpg
WO39020PAN,Fauve - Zenitude (Diva 184) 1016472,Panaget,Wood,Plank,European Oak,Satin Lacquer,184,500 – 2000,14/3.4,74.16666666666667,fauve-zenitude-diva-184-1016472,product-images/wood/panaget/fauve-zenitude-diva-184-1016472.jpg
WO60809PAN,Flamed Beech Cuivre (Diva 139) 1019714,Panaget,Wood,Plank,Beech,Oil,139,495 – 1992,14/3.4,63.33333333333333,flamed-beech-cuivre-diva-139-1019714,product-images/wood/panaget/flamed-beech-cuivre-diva-139-1019714.jpg
WO42149PAN,Flamed Beech Satine (Diva 139) 1019711,Panaget,Wood,Plank,Beech,Satin Lacquer,139,495 – 1992,14/3.4,63.33333333333333,flamed-beech-satine-diva-139-1019711,product-images/wood/panaget/flamed-beech-satine-diva-139-1019711.jpg
WO89103PAN,Flanelle - Authentic (Diva 184) 1014183,Panaget,Wood,Plank,European Oak,Oil,184,500 – 2000,15/4.5,108.33333333333334,flanelle-authentic-diva-184-1014183,product-images/wood/panaget/flanelle-authentic-diva-184-1014183.jpg
WO49935PAN,Flanelle - Zenitude (Diva 184) 1007324,Panaget,Wood,Plank,European Oak,Oil,184,500 – 2000,14/3.4,74.16666666666667,flanelle-zenitude-diva-184-1007324,product-images/wood/panaget/flanelle-zenitude-diva-184-1007324.jpg
WO66224PAN,Grey Oil - Zenitude (Diva 184) 1007332,Panaget,Wood,Plank,European Oak,Oil,184,500 – 2000,14/3.4,74.16666666666667,grey-oil-zenitude-diva-184-1007332,product-images/wood/panaget/grey-oil-zenitude-diva-184-1007332.jpg
WO96565PAN,Habano - Classic/Authentic (Herringbone 90) 1016742,Panaget,Wood,Herringbone,European Oak,Matt Lacquer,90,590,12/2.5,66.66666666666667,habano-classicauthentic-herringbone-90-1016742,product-images/wood/panaget/habano-classicauthentic-herringbone-90-1016742.jpg
