SKU,Product,Manufacturer,Category,Material,Widths,Sell ex VAT,Sell inc VAT,Colour,Slug,Image URL
CA16793ALT,Anywhere Boucle,Alternative Flooring,Carpet,100% Polyproylene,4,42.79166666666667,51.35,Ice,anywhere-boucle-ice,product-images/carpet/alternative-flooring/anywhere-boucle/anywhere-boucle-ice.jpg
CA16793ALT,Anywhere Boucle,Alternative Flooring,Carpet,100% Polyproylene,4,42.79166666666667,51.35,Slate,anywhere-boucle-slate,product-images/carpet/alternative-flooring/anywhere-boucle/anywhere-boucle-slate.jpg
CA19230ALT,Barefoot Bikram,Alternative Flooring,Carpet,100% Undyed Wool,4 | 5,65.83333333333333,79.0,Chakra,barefoot-bikram-chakra,product-images/carpet/alternative-flooring/barefoot-bikram/barefoot-bikram-chakra.jpg
CA19230ALT,Barefoot Bikram,Alternative Flooring,Carpet,100% Undyed Wool,4 | 5,65.83333333333333,79.0,Karma,barefoot-bikram-karma,product-images/carpet/alternative-flooring/barefoot-bikram/barefoot-bikram-karma.jpg
CA19230ALT,Barefoot Bikram,Alternative Flooring,Carpet,100% Undyed Wool,4 | 5,65.83333333333333,79.0,Laya,barefoot-bikram-laya,product-images/carpet/alternative-flooring/barefoot-bikram/barefoot-bikram-laya.jpg
CA19230ALT,Barefoot Bikram,Alternative Flooring,Carpet,100% Undyed Wool,4 | 5,65.83333333333333,79.0,Samsara,barefoot-bikram-samsara,product-images/carpet/alternative-flooring/barefoot-bikram/barefoot-bikram-samsara.jpg
CA19230ALT,Barefoot Bikram,Alternative Flooring,Carpet,100% Undyed Wool,4 | 5,65.83333333333333,79.0,Tadasana,barefoot-bikram-tadasana,product-images/carpet/alternative-flooring/barefoot-bikram/barefoot-bikram-tadasana.jpg
CA19230ALT,Barefoot Bikram,Alternative Flooring,Carpet,100% Undyed Wool,4 | 5,65.83333333333333,79.0,Janu,barefoot-bikram-janu,product-images/carpet/alternative-flooring/barefoot-bikram/barefoot-bikram-janu.jpg
CA16819ALT,Margo Selby Frolic,Alternative Flooring,Carpet,100% Wool,4,63.33333333333333,76.0,Minnis,margo-selby-frolic-minnis,product-images/carpet/alternative-flooring/margo-selby-frolic/margo-selby-frolic-minnis.jpg
CA16819ALT,Margo Selby Frolic,Alternative Flooring,Carpet,100% Wool,4,63.33333333333333,76.0,Pegwell,margo-selby-frolic-pegwell,product-images/carpet/alternative-flooring/margo-selby-frolic/margo-selby-frolic-pegwell.jpg
CA16819ALT,Margo Selby Frolic,Alternative Flooring,Carpet,100% Wool,4,63.33333333333333,76.0,Westbrook,margo-selby-frolic-westbrook,product-images/carpet/alternative-flooring/margo-selby-frolic/margo-selby-frolic-westbrook.jpg
CA47164ALT,Margo Selby Rock,Alternative Flooring,Carpet,100% Wool,4,63.33333333333333,76.0,Lydden,margo-selby-rock-lydden,product-images/carpet/alternative-flooring/margo-selby-rock/margo-selby-rock-lydden.jpg
CA47164ALT,Margo Selby Rock,Alternative Flooring,Carpet,100% Wool,4,63.33333333333333,76.0,Reculver,margo-selby-rock-reculver,product-images/carpet/alternative-flooring/margo-selby-rock/margo-selby-rock-reculver.jpg
CA47164ALT,Margo Selby Rock,Alternative Flooring,Carpet,100% Wool,4,63.33333333333333,76.0,Shakespeare,margo-selby-rock-shakespeare,product-images/carpet/alternative-flooring/margo-selby-rock/margo-selby-rock-shakespeare.jpg
CA31190ALT,No Bother Sisal Boucle,Alternative Flooring,Carpet,100% Sisal,4 | 5,47.5,57.0,Neatham,no-bother-sisal-boucle-neatham,product-images/carpet/alternative-flooring/no-bother-sisal-boucle/no-bother-sisal-boucle-neatham.jpg
CA31190ALT,No Bother Sisal Boucle,Alternative Flooring,Carpet,100% Sisal,4 | 5,47.5,57.0,Netley,no-bother-sisal-boucle-netley,product-images/carpet/alternative-flooring/no-bother-sisal-boucle/no-bother-sisal-boucle-netley.jpg
