SKU,Product,Manufacturer,Supplier,Category,Type,Thickness,Pack Quantity,Species,Finish,Width,Length,Cost ex VAT,Sell ex VAT,Sell inc VAT,Twickenham,Richmond,Discontinued?,Show on Website?
WO65008LAM,Oslo 150 Pure,Lamett,Lamett,Wood,Plank,15/3,2.232,European Oak,Oil,150,630 - 1860,38.47,60.0,72,,Yes,,Yes
WO53483LAM,Oslo 190 Authentic Brown,Lamett,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,630 - 1860,49.58,74.16666666666667,89,Yes,,,Yes
WO43864LAM,Oslo 190 Mont Blanc,Lamett,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,630 - 1860,49.58,74.16666666666667,89,Yes,,,Yes
WO63495LAM,Oslo 190 Natural,Lamett,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,630 - 1860,49.58,74.16666666666667,89,Yes,,,Yes
WO19548LAM,Oslo 190 Paris Brown,Lamett,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,630 - 1860,49.58,74.16666666666667,89,Yes,,,Yes
WO52166LAM,Oslo 190 Pure,Lamett,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,630 - 1860,49.58,74.16666666666667,89,Yes,,,Yes
WO53785LAM,Oslo Herringbone Mont Blanc,Lamett,Lamett,Wood,Herringbone,15/3,1.25,European Oak,Oil,125,625,55.27,77.5,93,Yes,Yes,,Yes
WO74628LAM,Oslo Herringbone Natural,Lamett,Lamett,Wood,Herringbone,15/3,1.25,European Oak,Oil,125,625,55.27,77.5,93,Yes,Yes,,Yes
WO29798LAM,Oslo Herringbone Pure,Lamett,Lamett,Wood,Herringbone,15/3,1.25,European Oak,Oil,125,625,55.27,77.5,93,Yes,Yes,,Yes
WO48078LAM,Tenda 150 Invisible,Lamett,Lamett,Wood,Plank,10/3,2.85,European Oak,Lacquer,150,600 - 1900,28.75,50.0,60,,Yes,,Yes
WO71282LAM,Tenda 150 Natural,Lamett,Lamett,Wood,Plank,10/3,2.85,European Oak,Lacquer,150,600 - 1900,30.92,50.83333333333333,61,,Yes,,Yes
WO56755PAN,American Black Walnut (Matt) (Diva 139) 1021340,Panaget,Panaget,Wood,Plank,14/3.4,1.39,American Walnut,Matt Lacquer,139,500 – 2000,71.55,100.0,120,,Yes,,Yes
WO19856PAN,American Black Walnut (Satin) (Herringbone 139) 1019564,Panaget,Panaget,Wood,Herringbone,14/2.5,2.22,American Walnut,Satin Lacquer,139,800,79.9,111.66666666666666,134,,Yes,,Yes
WO74121PAN,Argile - Authentic (Diva 223) 1017303,Panaget,Panaget,Wood,Plank,15/4.5,1.78,European Oak,Matt Lacquer,223,700 – 2000,72.85,101.66666666666666,122,,Yes,,Yes
WO84017PAN,Argile - Zenitude (Diva 184) 1016189,Panaget,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Matt Lacquer,184,500 – 2000,52.75,74.16666666666667,89,Yes,Yes,,Yes
WO78112PAN,Bois Flotte - Authentic (Chevron 139) 1019821,Panaget,Panaget,Wood,Chevron,14/3.4,1.45,European Oak,Matt Lacquer,139,500 – 2000,70.35,98.33333333333334,118,,Yes,,Yes
WO17345PAN,Bois Flotte - Authentic (Diva 139) 1017897,Panaget,Panaget,Wood,Plank,14/3.4,1.38,European Oak,Matt Lacquer,139,495 – 1992,40.15,60.0,72,,Yes,,Yes
WO44295PAN,Bois Flotte - Authentic (Diva 184) 1016634,Panaget,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Matt Lacquer,184,500 – 2000,56.1,78.33333333333333,94,,Yes,,Yes
WO13281PAN,Bois Flotte - Authentic (Diva 223) 1016985,Panaget,Panaget,Wood,Plank,15/4.5,1.78,European Oak,Matt Lacquer,223,700 – 2000,72.85,101.66666666666666,122,Yes,Yes,,Yes
WO26750PAN,Bois Flotte - Authentic (Diva Click 184) 1000059,Panaget,Panaget,Wood,Plank,12/2.5,2.2,European Oak,Matt Lacquer,184,495 – 1992,51.3,71.66666666666667,86,,Yes,,Yes
WO73529PAN,Bois Flotte - Authentic (Herringbone 139) 1016617,Panaget,Panaget,Wood,Herringbone,14/3.4,2.22,European Oak,Matt Lacquer,139,800,58.9,82.5,99,,Yes,,Yes
WO14239PAN,Bois Flotte - Classic (Diva 139) 1019701,Panaget,Panaget,Wood,Plank,14/3.4,1.38,European Oak,Matt Lacquer,139,495 – 1992,45.95,69.16666666666667,83,,Yes,,Yes
WO96500PAN,Bois Flotte - Classic (Diva 184) 1006159,Panaget,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Matt Lacquer,184,500 – 2000,59.0,82.5,99,,Yes,,Yes
WO55719PAN,Bois Flotte - Classic (Diva Click 139) 1005774,Panaget,Panaget,Wood,Plank,12/2.5,1.38,European Oak,Matt Lacquer,139,495 – 1992,43.0,64.16666666666667,77,,Yes,,Yes
WO35030PAN,Bois Flotte - Intenso (Diva 139) 1017017,Panaget,Panaget,Wood,Plank,12/2.5,1.38,European Oak,Matt Lacquer,139,495 – 1992,32.87,54.16666666666667,65,,Yes,,Yes
WO97297PAN,Bois Flotte - Zenitude (Diva 139) 1007643,Panaget,Panaget,Wood,Plank,12/2.5,1.38,European Oak,Matt Lacquer,139,495 – 1992,37.65,58.33333333333333,70,,Yes,,Yes
WO52768PAN,Bois Flotte - Zenitude (Diva 184) 1007330,Panaget,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Matt Lacquer,139,500 – 2000,52.75,74.16666666666667,89,Yes,Yes,,Yes
WO52271PAN,Bois Flotte - Zenitude (Diva 184) 1016424,Panaget,Panaget,Wood,Plank,12/2.5,2.2,European Oak,Matt Lacquer,184,495 – 1992,47.55,71.66666666666667,86,,Yes,,Yes
WO92846PAN,Bois Flotte - Zenitude (Sonate 140) 1007261,Panaget,Panaget,Wood,Plank,14 (Solid),1.64,European Oak,Matt Lacquer,140,400 – 1300,57.43,80.0,96,,Yes,,Yes
WO26626PAN,Bois Flotte - Zenitude (Sonate 90) 1007293,Panaget,Panaget,Wood,Plank,14 (Solid),1.64,European Oak,Matt Lacquer,90,400 – 1300,55.38,77.5,93,,Yes,,Yes
WO56818PAN,Bois Flotte – Tradition (Alto 139) 1017696,Panaget,Panaget,Wood,Plank,12/2.5,1.85,European Oak,Matt Lacquer,139,1210,46.52,70.0,84,,Yes,,Yes
WO17545PAN,Café Crème - Authentic (Chevron 139) 1019822,Panaget,Panaget,Wood,Chevron,14/3.4,1.45,European Oak,Matt Lacquer,139,650,70.35,98.33333333333334,118,,Yes,,Yes
WO78263PAN,Café Crème - Zenitude (Diva 139) 1019168,Panaget,Panaget,Wood,Plank,12/2.5,1.38,European Oak,Matt Lacquer,139,495 – 1992,37.65,58.33333333333333,70,,Yes,,Yes
