SKU,Product,Manufacturer,Supplier,Category,Type,Material,Widths,Colours,Cost ex VAT,Sell ex VAT,Sell inc VAT,Twickenham,Richmond,Show on Website?,Discontinued?
CA36236ASS,Gaia Tigris,Associated Weavers,Associated Weavers,Carpet,Carpet,100% Micro Polyester,"4, 5","20 - Canopy Green, 30 - Sand Tan, 32 - Spanish Olive, 33 - Bathstone, 35 - Teddy Bear, 37 - Rolling Fog, 49 - London Roof, 74 - Goa, 90 - Iron Grey, 94 - Chimney Smoke, 95 - Wren Feather, 97 - Amsterdam Grey, 98 - Graphite, 99 - Blackjack",12.86,25.833333333333336,31.0,,Yes,,
CA77360ASS,Invictus Aurelius,Associated Weavers,Associated Weavers,Carpet,Carpet,100% Polypropylene,"3, 4, 5","02 - Mirage, 03 - Mist, 20 - Eucalyptus Leaf, 33 - Mushroom, 35 - Golden Honey, 49 - Knightsbridge, 61 - Hydrangea, 92 - Battleship Grey, 94 - Cheviot Flannel, 96 - Appleton Grey, 97 - Notting Hill Sl",15.70925,31.666666666666664,38.0,,,,
CA21834ASS,Invictus Cassius,Associated Weavers,Associated Weavers,Carpet,Carpet,100% Polypropylene,"3, 4, 5","03 - White Swan, 20 - Fern, 32 - Mistflower, 33 - Temple, 34 - Acacia, 35 - Golden Honey, 38 - Okra, 39 - Wheat Straw, 75 - Rainlake, 93 - Silver Thaw, 94 - Duante, 95 - Kale, 97 - Liliul, 99 - Sesame",16.647,33.333333333333336,40.0,,,,
CA13511ASS,Invictus Centaurus,Associated Weavers,Associated Weavers,Carpet,Carpet,100% Polypropylene,"3, 4, 5","03 - Flash White, 09 - Shadow White, 30 - Cornsilk, 33 - Vanilla, 39 - Chalk Beige, 92 - Silver Cloud, 94 - Marble Grey, 95 - Cool Grey, 96 - Warm Grey, 97 - Grey Coral, 99 - Onyx Black",16.647,33.333333333333336,40.0,,,,
CA66321ASS,Invictus Centurion,Associated Weavers,Associated Weavers,Carpet,Carpet,100% Polypropylene,"3, 4, 5","09 - Granola, 30 - Silkworm, 31 - Shortbread, 32 - Buttermilk, 33 - Cotswold Stone, 35 - Sandcastle, 37 - Macaroon, 41 - Peachblossom, 90 - Silvermoon, 93 - Steel Grey, 94 - Portobello Grey, 95 - Slate, 97 - Pewter, 98 - Deep Cavern",11.4855,23.333333333333336,28.0,,,,
CA31790ASS,Invictus Darius,Associated Weavers,Associated Weavers,Carpet,Carpet,100% Polypropylene,"3, 4, 5","03 - White Swan, 33 - Temple, 34 - Acacia, 38 - Okra, 39 - Wheat Straw, 93 - Silver Thaw, 94 - Duante, 95 - Kale, 97 - Liliul, 99 - Sesame",13.83375,27.5,33.0,,,,
CA35827ASS,Invictus Magnificus,Associated Weavers,Associated Weavers,Carpet,Carpet,100% Polypropylene,"3, 4, 5","09 - Granola, 30 - Silkworm, 31 - Shortbread, 32 - Buttermilk, 33 - Cotswold Stone, 35 - Sandcastle, 37 - Macaroon, 41 - Peachblossom, 90 - Silver Moon, 93 - Steel Grey, 94 - Portobello Grey, 95 - Slate, 97 - Pewter, 98 - Deep Cavern",17.112,34.166666666666664,41.0,,,,
CA63331ASS,Invictus Orion,Associated Weavers,Associated Weavers,Carpet,Carpet,100% Polypropylene,"3, 4, 5","28 - Sage Grey, 30 - Blanched Almond, 32 - Sandy Beach, 35 - Pale Umber, 36 - Latte, 42 - Indian Summer, 45 - Den, 54 - Golden Honey, 75 - Inchyra Blue, 90 - Silver Chalice, 91 - Lavastone, 92 - Ash Grey, 93 - Elder Bark, 95 - Roman Silver, 96 - Grey Plank",13.83375,27.5,33.0,,,,
CA74302ASS,Invictus Septimus,Associated Weavers,Associated Weavers,Carpet,Carpet,100% Polypropylene,"3, 4, 5","03 - Washed Linen, 31 - Baking Day, 33 - Stony Ground, 36 - High Line, 37 - Sandy Steps, 38 - Portland Stone, 39 - Perfect Taupe, 40 - Pale Birch, 90 - Pale Graphite, 91 - Grey Pearl, 92 - Soft Silver, 94 - London Roof, 95 - Iron Ore, 96 - Smoke Grey, 97 - Autumn Moore",11.4855,23.333333333333336,28.0,,,,
CA21360ASS,Invictus Severus,Associated Weavers,Associated Weavers,Carpet,Carpet,100% Polypropylene,"3, 4, 5","03 - Washed Linen, 31 - Baking Day, 33 - Stony Ground, 36 - High Line, 37 - Sandy Steps, 38 - Portland Stone, 39 - Perfect Taupe, 40 - Pale Birch, 90 - Pale Graphite, 91 - Grey Pearl, 92 - Soft Silver, 94 - London Roof, 95 - Iron Ore, 96 - Smoke Grey, 97 - Autumn Moore",17.112,34.166666666666664,41.0,,,,
CA14650ASS,Invictus Sirius,Associated Weavers,Associated Weavers,Carpet,Carpet,100% Polypropylene,"3, 4, 5","28 - Sage Grey, 32 - Sandy Beach, 35 - Pale Umber, 36 - Latte, 42 - Indian Summer, 45 - Den, 54 - Golden Honey, 75 - Inchyra Blue, 90 - Silver Chalice, 91 - Lavastone, 92 - Ash Grey, 93 - Elder Bark, 95 - Roman Silver, 96 - Grey Plank, 97 - Charcoal",15.3,30.833333333333336,37.0,,Yes,,
CA12575ASS,Invictus Tiberius,Associated Weavers,Associated Weavers,Carpet,Carpet,100% Polypropylene,"3, 4, 5","02 - Mirage, 03 - Mist, 20 - Eucalyptus Leaf, 33 - Mushroom, 35 - Golden Honey, 49 - Knightsbridge, 61 - Hydrangea, 90 - Concrete, 92 - Battleship Grey, 94 - Cheviot Flannel, 96 - Appleton Grey, 97 - Notting Hill Sl",13.83375,27.5,33.0,,,,
CA81371ASS,iSense Obsession,Associated Weavers,Associated Weavers,Carpet,Carpet,100% iSense Polyamide,"4, 5","03 - Ermine, 28 - Ambleside, 33 - Nougat, 34 - Suede, 36 - Camel, 39 - Gazelle, 43 - Bistro, 45 - Mocca, 75 - Scree, 84 - Tuscan, 92 - Granite, 95 - Smoke, 97 - Anthracite, 99 - Raven",21.79,39.166666666666664,47.0,,,,
CA68290ASS,iSense Serenity,Associated Weavers,Associated Weavers,Carpet,Carpet,100% iSense Polyamide,"4, 5","28 - Salix, 37 - Hammock, 39 - Dove, 41 - Rolling Fog, 44 - Havana, 46 - Silt, 47 - Hessian, 49 - Earth Tone, 62 - Dorchester, 70 - Gauze, 92 - Slate, 95 - Symphony, 97 - Manhattan, 99 - Charcoal",26.06,44.16666666666667,53.0,,,,
CA18962ASS,iSense Splendour,Associated Weavers,Associated Weavers,Carpet,Carpet,100% iSense Polyamide,"4, 5","15 - Faded Rose, 20 - Salix, 31 - Almond, 33 - Latte, 34 - Camel, 39 - Zephyr, 44 - Soft Stone, 47 - Mellow Mocha, 49 - New Cotton, 70 - Cheviot Flanel, 92 - Pewter, 95 - Warm Grey, 97 - Urban Sky, 99 - Ebony",18.39,36.666666666666664,44.0,,,,
CA56041ASS,iSense Subtlety,Associated Weavers,Associated Weavers,Carpet,Carpet,100% iSense Polyamide,"4, 5","47 - Moleskin, 34 - Portobello, 97 - Anthracite, 70 - Gentle Sky, 16 - Whisper, 09 - Platina, 95 - Basalt, 32 - China Clay, 90 - Granite, 92 - Smoke, 98 - Raven, 39 - Zephyr, 36 - Cornfield, 94 - Marble",21.1,38.333333333333336,46.0,,,,
CA62127ASS,iSense Surprise,Associated Weavers,Associated Weavers,Carpet,Carpet,100% iSense Polyamide,"4, 5","20 - Poseidon, 27 - Hera, 39 - Nemesis, 45 - Hades, 77 - Royale, 90 - Leo, 95 - Gemini, 97 - Taurus, 98 - Raven, 99 - Aries",21.32,38.333333333333336,46.0,,,,
CA24147ASS,iSense Suspense,Associated Weavers,Associated Weavers,Carpet,Carpet,100% iSense Polyamide,"4, 5","03 - Ermine, 04 - Fog, 20 - Ice Floes, 30 - Desert, 36 - Orchid, 39 - Zephyr, 40 - Mocca, 57 - Granite, 58 - Smoke, 59 - Night Sky, 62 - Nude, 95 - Basalt, 97 - Anthracite, 98 - Raven",27.8,47.5,57.0,,,,
CA96747ASS,Sedna Kai,Associated Weavers,Associated Weavers,Carpet,Carpet,100% Econyl Nylon,4,"03 - Agora, 09 - Misty, 11 - Bordeaux, 14 - Blush, 29 - Amazon, 33 - Sand, 39 - Calico, 44 - Havana, 49 - Taupe, 54 - Midas, 79 - Midnight, 84 - Brique, 95 - Basalt, 97 - Anthracite, 99 - Raven",15.44,30.833333333333336,37.0,,,,
CA70043ASS,Sedna Oshun,Associated Weavers,Associated Weavers,Carpet,Carpet,100% Econyl Nylon,"4, 5","16 - Faded Rose, 29 - Green Stone, 30 - Alabaster, 33 - Beauvais Lilac, 34 - Taupe, 39 - Smoke, 49 - Storm, 71 - La Seine, 90 - Quartz, 94 - Flint, 95 - Aubusson, 98 - Gargoyle",22.65,40.83333333333333,49.0,,,,
CA94409ASS,Sedna Varuna,Associated Weavers,Associated Weavers,Carpet,Carpet,100% Econyl Nylon,"4, 5","03 - Nougat, 09 - Platina, 33 - Cornfield, 35 - Sandstone, 39 - Zephyr, 70 - Caspian, 90 - Atmosphere, 94 - Quartz, 95 - Basalt",21.37,38.333333333333336,46.0,,,,
CA69706AXM,Cobble Weave,Axminster Carpets,Axminster Carpets,Carpet,Carpet,"80% Wool, 20% Yak Hair","4, 5","Anaman Whirl, Araniko Loop, Dolakha Spire, Karakoram Knot, Karnali Braid, Kashmir Jewel, Langtang Creek, Myanmar Hoop, Taklamakan Sphere, Tilicho Bow",39.99,60.0,72.0,,Yes,,
CA44625AXM,Devonia,Axminster Carpets,Axminster Carpets,Carpet,Carpet,"80% Wool, 20% Nylon","4, 5","Confetti, Dimpsey, Discovery, Double Cream, Dragonfly, Faded Rose, Foggy Grey, French Grey, Mulberry Crush, Ocean Deep, Orchid, Pacific Breeze, Plains, Rose Cottage, Sea Storm, Silvervale, Sunkissed, Swansdown Silver, Teign Grey, Water Reed",28.7,45.0,54.0,,,,
CA22737AXM,Hazy Days,Axminster Carpets,Axminster Carpets,Carpet,Carpet,100% Wool,3.66,"Apple Picking, Coconut Milk, Cygnet, Daisy Chain, Dove Grey, Flower Pressing, Fossil Hunting, Garden Fete, Hide & Seek, High Tea, Ice Skating, Kaleidoscope, Kicking Leaves, Kite Flying, Labyrinth, Leapfrog, Limestone, Mouse, Nature Trail, Pebble, Pic-N-Mix, Picnic, Pony Ride, Rockpooling, Skimming Stones, Slate, Snakes & Ladders, Star Gazing, Summer Holiday, Swansdown, Walking The Dog, Willow Fall",53.49,81.66666666666666,98.0,,,,
CA73733AXM,Moorland,Axminster Carpets,Axminster Carpets,Carpet,Carpet,100% Wool,"4, 5","Autumn Glow, Barle, Baskerville, Cobble, Cornish Cream, Golden Globe, Green Haze, Honeysuckle, Ling, Mizzle, Moorland Twist",29.85,46.66666666666667,56.0,,,,
CA85165AXM,Myth & Moor,Axminster Carpets,Axminster Carpets,Carpet,Carpet,"80% Wool, 20% Nylon",3.66,"Autumn Fall, Blackberry Camp, Breezy Day, By The Fire, Dilly Dally, Exclusives, Fingle Woods, Haldon Forest, Moorland Ramble, Stroll In The Park, Toodle Pip, Trinity Hill, Village Brook, Windy Jaunt, Woodbury Common, Woodland Walk",51.3,79.16666666666667,95.0,,,,
CA67526AXM,Simply Natural,Axminster Carpets,Axminster Carpets,Carpet,Carpet,100% Wool,"4, 5","Ash, Basalt, Basalt/Eggshell, Flint, Flint/Eggshell, Grosgrain, Quartz, Ribgrass, Simply Natural, Straw, Straw/Black, Straw/Cornsilk, Straw/Flame, Wheat",36.49,57.5,69.0,,Yes,,
CA42123AXM,Velvet Collection,Axminster Carpets,Axminster Carpets,Carpet,Carpet,"80% Wool, 15% Nylon, 5% PA","4, 5","Brushed Velvet, Cashmere Shawl, Chroma Haze, Feather Plume, Harvest Dawn, Ocean Spray, Satin Touch, Silk Road, Smoky Shore, Soft Lace, Star Dune, Velvet Collection",48.5,75.0,90.0,,,,
CA26813BES,Globe,Best Wool Carpets,Best Wool Carpets,Carpet,Carpet,"50% Wool, 50% PP","4, 5","196, 195, 191, 190, 193, 116, 117, 118, 182, 197",23.0,41.66666666666667,50.0,,,,
CA84953BES,Imperial,Best Wool Carpets,Best Wool Carpets,Carpet,Carpet,100% NZ Wool,5,"Humility B10020, Humility B10021, Humility B10022, Humility B40030, Humility B40031, Humility B40037, Humility B70018, Humility D10020, Humility E40012",31.9,54.16666666666667,65.0,Yes,Yes,Yes,
CA67564BRO,Beachcomber,Brockway,Brockway,Carpet,Carpet,100% Wool,"4, 5","Barnacle, Driftwood, Dune Barnacle, Dune Driftwood, Dune Pebble, Dune Reef, Dune Shingle, Pebble, Reef, Shingle, Strand Barnacle, Strand Driftwood, Strand Pebble, Strand Reef, Strand Shingle",27.47,46.66666666666667,56.0,,Yes,,
CA58676BRO,British Rare Breeds,Brockway,Brockway,Carpet,Carpet,100% Wool,"4, 5","Balwen, Cotswold, Kerry Hill, Manx, Moorit, Norfolk Horn, Ryeland, Soay",31.88,54.16666666666667,65.0,,Yes,,
CA46436BRO,British Rare Breeds Loop,Brockway,Brockway,Carpet,Carpet,100% Wool,"4, 5","Calico, Canvas, Cotton, Felt, Flax, Hemp, Hessian, Linen",25.62,43.33333333333333,52.0,,Yes,,
CA41539BRO,Cotswolds,Brockway,Brockway,Carpet,Carpet,100% Wool,5,"Bibury, Broadway, Burford, Chipping Norton, Elkstone, Kingham, Tetbury",30.13,50.83333333333333,61.0,,Yes,,
CA90180BRO,Dimensions Berber,Brockway,Brockway,Carpet,Carpet,80% Wool,"4, 5","Barafundle Bay, Brecon Beacons, Cairngorms, Chesil Beach, Cleveland Way, Cumbrian Fells, Dartmoor, Isles of Scilly, Jurassic Coast, Kinder Scout, Lands End, Lindisfarne, Severn Estuary, Snowdonia, South Downs, Yorkshire Wolds",21.33,38.333333333333336,46.0,,,,
CA47048BRO,Dimensions Heathers 40,Brockway,Brockway,Carpet,Carpet,80% Wool,"4, 5","Amazon, Arctic Grey, Biscotti, Camel, Cookie Dough, Dormouse, Greyling, Herb Garden, Honeycomb, Marmalade, Mint Crisp, Muted Stone, Natural Heather, Onyx, Rice Pudding, Rockpool Taupe, Silver Chalice, Soft Feather, Stormy Sky, Urban Slate",21.08,38.333333333333336,46.0,,,,
CA29743BRO,Dimensions Heathers 50,Brockway,Brockway,Carpet,Carpet,80% Wool,"4, 5","Amazon, Arctic Grey, Biscotti, Camel, Cookie Dough, Dormouse, Greyling, Herb Garden, Honeycomb, Marmalade, Mint Crisp, Muted Stone, Natural Heather, Onyx, Rice Pudding, Rockpool Taupe, Silver Chalice, Soft Feather, Stormy Sky, Urban Slate",23.48,42.5,51.0,,,,
CA39454BRO,Dimensions Plains 40,Brockway,Brockway,Carpet,Carpet,80% Wool,"4, 5","Aluminium, Auburn, Azure, Barley, Bergamot, Butterscotch, Champagne, Cotton, Dark Tusk, Demerara, Flint, Garnet, Gauze, Lattice, Moss, Old White, Pale Stone, Popcorn, Port, Ruby, Silver Frost, Siren, Soft Green, Storm",21.08,38.333333333333336,46.0,Yes,,,
CA65119BRO,Dimensions Plains 50,Brockway,Brockway,Carpet,Carpet,80% Wool,"4, 5","Aluminium, Auburn, Azure, Barley, Bergamot, Butterscotch, Champagne, Cotton, Dark Tusk, Demerara, Flint, Garnet, Gauze, Lattice, Moss, Old White, Pale Stone, Popcorn, Port, Ruby, Silver Frost, Siren, Soft Green, Storm",23.48,42.5,51.0,,,,
CA19335BRO,Elements,Brockway,Brockway,Carpet,Carpet,100% Wool,5,"Chalk, Clay, Earth, Limestone, Pebble, Putty, Sand, Stone",35.87,57.5,69.0,,Yes,,
CA71279BRO,Galloway,Brockway,Brockway,Carpet,Carpet,100% Wool,5,"Fleet Falcon, Fleet Grouse, Fleet Kestrel, Fleet Kite, Fleet Osprey, Fleet Peregrine, Luce Falcon, Luce Grouse, Luce Kestrel, Luce Kite, Luce Osprey, Luce Peregrine, Wigtown Falcon, Wigtown Grouse, Wigtown Kestrel, Wigtown Kite, Wigtown Osprey, Wigtown Peregrine",34.01,57.5,69.0,,Yes,,
CA71768BRO,Gatsby,Brockway,Brockway,Carpet,Carpet,100% Wool,4,"Armoury, Bauhaus, Deco Silver, Golden Age, Ivory, Moonlight, Parlour Shade, Pistachio",39.85,64.16666666666667,77.0,Yes,Yes,,
CA40904BRO,Heathcote,Brockway,Brockway,Carpet,Carpet,100% Wool,"4, 5","Grey Willow, Limed Oak, Pearl Ash, Silver Larch, Tawny Beech, Witch Hazel",14.29,28.333333333333336,34.0,,Yes,,
CA49665BRO,Helvellyn,Brockway,Brockway,Carpet,Carpet,100% Wool,"4, 5","Catstye Cam, Glacial Cove, Glenriddings, Keppel Cove, Swirral Edge, Thirlmere",28.61,48.33333333333333,58.0,,Yes,,
CA85795BRO,Herdwick Herringbone Runner,Brockway,Brockway,Carpet,Carpet,100% Wool,0.69,"Buttermere Black Herringbone LHR 0119, Buttermere Grey Herringbone LHR 0019, Fornside Black Herringbone LHR 0110, Silverhow Grey Herringbone LHR 0001, Windermere Black Herringbone LHR 0123, Windermere Grey Herringbone LHR 0023",72.56,109.16666666666666,131.0,,Yes,,
CA41532BRO,Lakeland Herdwick,Brockway,Brockway,Carpet,Carpet,100% Wool,"4, 5","Ambleside, Buttermere, Fornside, Hilltop, Ramsbeck, Rydal, Scafell, Silverhow, Ullswater, Windermere",30.08,50.83333333333333,61.0,,Yes,,
CA93063BRO,Lakeland Herdwick Loop,Brockway,Brockway,Carpet,Carpet,100% Wool,"4, 5","Buttermere, Fornside, Rydal, Ullswater, Windermere",30.08,50.83333333333333,61.0,,Yes,,
CA75169BRO,Lakeland Herdwick Twist,Brockway,Brockway,Carpet,Carpet,100% Wool,"4, 5","Buttermere, Fornside, Rydal, Ullswater, Windermere",30.08,50.83333333333333,61.0,,Yes,,
CA82705BRO,Lakeland Herdwick Weave,Brockway,Brockway,Carpet,Carpet,100% Wool,4,"Buttermere, Fornside, Rydal, Ullswater, Windermere",30.08,50.83333333333333,61.0,,Yes,,
CA62395BRO,Landscapes,Brockway,Brockway,Carpet,Carpet,100% Wool,5,"Coastal, Desert, Moorland, Plains, Prairie, Taiga, Tundra, Urban",38.51,61.66666666666667,74.0,,Yes,,
CA88724BRO,Lingdale,Brockway,Brockway,Carpet,Carpet,80% Wool,"4, 5","Askrigg, Aysgarth, Buckden, Burnsall, Grassington, Hawes, Ingleton, Kettlewell, Langthwaite, Leyburn, Malham, Ryelstone",15.75,31.666666666666664,38.0,,,,
CA29750BRO,Lingdale Elite,Brockway,Brockway,Carpet,Carpet,80% Wool,"4, 5","Askrigg, Aysgarth, Buckden, Burnsall, Grassington, Hawes, Ingleton, Kettlewell, Langthwaite, Leyburn, Malham, Ryelstone",18.36,36.666666666666664,44.0,,,,
CA66824BRO,Natural Tweed,Brockway,Brockway,Carpet,Carpet,100% Wool,5,"Barra, Benbecula, Berneray, Eriskay, Harris, Lewis, Scarp, Skye",28.52,48.33333333333333,58.0,,Yes,,
CA29961BRO,Orion Twist,Brockway,Brockway,Carpet,Carpet,80% Wool,"4, 5","Algebar, Alnilam, Becklin, Bellatrix, Betelgeuse, Canis, Gliese, Heka, Meissa, Merope, Nair, Rigel",21.37,38.333333333333336,46.0,,,,
CA47968BRO,Orion Twist Major,Brockway,Brockway,Carpet,Carpet,80% Wool,"4, 5","Algebar, Alnilam, Becklin, Bellatrix, Betelgeuse, Canis, Gliese, Heka, Meissa, Merope, Nair, Rigel",27.56,46.66666666666667,56.0,,,,
CA30050BRO,Padstow,Brockway,Brockway,Carpet,Carpet,100% Wool,"4, 5","Angora Pebble, Angora Strata, Chamois Pebble Tweed, Chamois Strata Tweed, Hare Pebble Tweed, Hare Strata Tweed, Llama Pebble, Llama Strata, Mohair Pebble, Mohair Strata, Moleskin Pebble, Moleskin Strata, Vicuna Pebble, Vicuna Strata",29.73,50.83333333333333,61.0,,Yes,,
CA49441BRO,Portofino,Brockway,Brockway,Carpet,Carpet,100% Wool,"4, 5","Azzuro, Grigio, Marrone, Nero, Oliva, Rosso, Turchesi, Verde",31.71,54.16666666666667,65.0,,Yes,,
CA71763BRO,Romney,Brockway,Brockway,Carpet,Carpet,100% Wool,"4, 5","Appledore, Brookland, Dymchurch, Fairfield, Midley, Shingle Beach, Walland Marsh, Winchelsea",20.8,37.5,45.0,,Yes,,
CA70728BRO,Rosedale,Brockway,Brockway,Carpet,Carpet,80% Wool,"4, 5","Blakey Ridge, Chimney Bank, Cote Hill, Cropton, Daffodil Valley, Dale Head, Danby Castle, Habton, Hartoft Rigg, Knottside, Loose Howe, River Dove, Spaunton Moor, Terrington, Thorgill, Waterhouse Well",17.95,35.833333333333336,43.0,,,,
CA45506BRO,Salcombe,Brockway,Brockway,Carpet,Carpet,100% Wool,5,"At Sea, Clotted Cream, Estuary, Lighthouse, Oyster, Rock Pool, Sail Boat, Seagull",38.15,60.83333333333333,73.0,,Yes,,
CA33951BRO,Serenity,Brockway,Brockway,Carpet,Carpet,100% Wool,5,"Chalk, Clay, Earth, Limestone, Pebble, Putty, Sand, Stone",36.77,59.16666666666667,71.0,,Yes,,
CA95612BRO,Solar,Brockway,Brockway,Carpet,Carpet,80% Wool,"4, 5","Almond, Ash, Caviar, Celadon, Chamois, Chilli, Chinchilla, Elephant, Flax, Forget-Me-Not, Guacamole, Iceberg, Maize, Metal, Muscari, Mustard, Ochre, Pear, Platinum, Pollen, Seashell, Seaweed, Tangerine, Teal",31.58,53.33333333333333,64.0,,,,
CA47304CAV,Coastal Loop,Cavalier Carpets,Cavalier Carpets,Carpet,Carpet,100% Wool,"4, 5","Crest, Ebb, Tide, Wave, Flow",27.04,45.83333333333333,55.0,Yes,Yes,,
CA19352CAV,Cosmopolitan Regal (50oz),Cavalier Carpets,Cavalier Carpets,Carpet,Carpet,80% Wool,"4, 5","Amonite, Bisque, Bistro, Cornsilk, Dewdrop, Eucalyptus, Ivory, Lipstick, Magnolia, Merlin, Mint, Mouse, Oxford, Periwinkle, Purbeck, Ruby, Saddle, Slate, Smoke, Steel Blue, Surf, Tan, Taupe, Teal",19.04,38.333333333333336,46.0,,,,
CA49780CAV,Cosmopolitan Sovereign (60oz),Cavalier Carpets,Cavalier Carpets,Carpet,Carpet,80% Wool,"4, 5","Amonite, Bisque, Bistro, Cornsilk, Dewdrop, Eucalyptus, Ivory, Lipstick, Magnolia, Merlin, Mint, Mouse, Oxford, Periwinkle, Purbeck, Ruby, Saddle, Slate, Smoke, Steel Blue, Surf, Tan, Taupe, Teal",22.12,40.0,48.0,,,,
CA87602CAV,Cosmopolitan Supreme (40oz),Cavalier Carpets,Cavalier Carpets,Carpet,Carpet,80% Wool,"4, 5","Amonite, Bisque, Bistro, Cornsilk, Dewdrop, Eucalyptus, Ivory, Lipstick, Magnolia, Merlin, Mint, Mouse, Oxford, Periwinkle, Purbeck, Ruby, Saddle, Slate, Smoke, Steel Blue, Surf, Tan, Taupe, Teal",16.58,33.333333333333336,40.0,,,,
CA30387CAV,Criterion Twist Regal (50oz),Cavalier Carpets,Cavalier Carpets,Carpet,Carpet,80% Wool,"4, 5","Anchor, Artichoke, Bone China, Butterscotch, Cameo, Candlewax, Cloud Stream, Coin, Corinish Blue, Donkey Stone, Ecru, Ginger, Honeydew, London Brick, Napa, Onyx, Piazza Stone, Porpoise, Prussian Blue, Rhino, Seal, Shadow Green, Vermillion, Woodruff",19.04,38.333333333333336,46.0,,,,
CA76485CAV,Criterion Twist Sovereign (60oz),Cavalier Carpets,Cavalier Carpets,Carpet,Carpet,80% Wool,"4, 5","Anchor, Artichoke, Bone China, Butterscotch, Cameo, Candlewax, Cloud Stream, Coin, Corinish Blue, Donkey Stone, Ecru, Ginger, Honeydew, London Brick, Napa, Onyx, Piazza Stone, Porpoise, Prussian Blue, Rhino, Seal, Shadow Green, Vermillion, Woodruff",22.12,40.0,48.0,,,,
CA96424CAV,Criterion Twist Supreme (40oz),Cavalier Carpets,Cavalier Carpets,Carpet,Carpet,80% Wool,"4, 5","Anchor, Artichoke, Bone China, Butterscotch, Cameo, Candlewax, Cloud Stream, Coin, Corinish Blue, Donkey Stone, Ecru, Ginger, Honeydew, London Brick, Napa, Onyx, Piazza Stone, Porpoise, Prussian Blue, Rhino, Seal, Shadow Green, Vermillion, Woodruff",16.58,33.333333333333336,40.0,,,,
CA50529CAV,Curlew,Cavalier Carpets,Cavalier Carpets,Carpet,Carpet,100% Wool,"4, 5","Snipe, Skylark, Sandpiper, Lapwing, Woodcock, Turnstone",20.38,36.666666666666664,44.0,Yes,Yes,,
CA69513CAV,Guildhall Twist (50oz),Cavalier Carpets,Cavalier Carpets,Carpet,Carpet,80% Wool,"4, 5","Azure, Cavalry Grey, Claret, Clotted Cream, Flamingo, Greige, Magma, Nordic Gold, Old Gold, Pencil, Rosso, Sage, Sea Spray, Shale, String, Wolverine, York Stone",30.11,50.83333333333333,61.0,,,,
CA21066CAV,Lupo,Cavalier Carpets,Cavalier Carpets,Carpet,Carpet,100% Wool,"4, 5","Buoy, Deck, Hammock, Keel, Mast, Rope, Sail, Spinnaker",18.43,36.666666666666664,44.0,,,Yes,
CA52947CAV,Millstone,Cavalier Carpets,Cavalier Carpets,Carpet,Carpet,100% Wool,"4, 5","Bedrock, Burrstone, Chert, Forggart, Furrow, Quern",24.9,45.0,54.0,,,Yes,
CA34806CAV,Owlet,Cavalier Carpets,Cavalier Carpets,Carpet,Carpet,100% Undyed Wool,"4, 5","Barn, Buffy, Eagle, Tawny, Marsh, Screech, Great Grey, Sooty",27.04,45.83333333333333,55.0,Yes,Yes,,
CA95208CAV,Silken,Cavalier Carpets,Cavalier Carpets,Carpet,Carpet,100% Polyester,"4, 5","Chiffon, Cocoon, Cravat, Crepe, Kimono, Lacewing, Mayfly, Mulberry, Taffeta, Web",14.99,30.0,36.0,,,,
CA22173CLA,Burnham,Clarendon Carpets,Clarendon Carpets,Carpet,Carpet,"50% Wool, 50% Synthetic","4, 5","Driftwood, Flaxen, Malt, Pearl, Shadow, Stripe Driftwood, Stripe Flaxen, Stripe Malt, Stripe Shadow, Stripe Suede, Suede",9.39,19.166666666666668,23.0,,,,
CA38361CLA,Cavendish,Clarendon Carpets,Clarendon Carpets,Carpet,Carpet,"50% Wool, 50% PP","4, 5","Cardwell, Dolomite, Flannel, Heron, Millstone, Nettle, Nomad, Pumice, Putty, Seafoam, Seal, Shanty",17.05,34.166666666666664,41.0,Yes,Yes,Yes,
CA30457CLA,Chigwell,Clarendon Carpets,Clarendon Carpets,Carpet,Carpet,"50% Wool, 50% Synthetic","4, 5","Ripple Bark, Ripple Caramel, Ripple Ivory, Ripple Mist, Ripple Relic, Ripple Soot, Twine Bark, Twine Caramel, Twine Ivory, Twine Mist, Twine Relic, Twine Soot",8.69,17.5,21.0,Yes,,Yes,
CA59852CLA,Connoisseur Velvet,Clarendon Carpets,Clarendon Carpets,Carpet,Carpet,100% PP,"4, 5","Cord, Cromarty, Eggshell, Harbour Grey, London Stone, Mineral, Pheasant, Purbeck, Suede, Tallow",13.75,27.5,33.0,Yes,Yes,,
CA28869CLA,Eton,Clarendon Carpets,Clarendon Carpets,Carpet,Carpet,100% Wool,"4, 5","Battleship, Beige, Drift, Fawn, Fondant, Jute, Olive, Shadow, Steel, Stone",14.8,30.0,36.0,Yes,Yes,Yes,
CA82193CLA,Fine Lines,Clarendon Carpets,Clarendon Carpets,Carpet,Carpet,"50% Wool, 50% Synthetic","4, 5","Badger, Carriage Wheel, Cool Vapour, Eiderdown, Mole, Portland Stone, Silver Tarnish, Slate",16.99,34.166666666666664,41.0,Yes,Yes,Yes,
CA72260CLA,Garden City,Clarendon Carpets,Clarendon Carpets,Carpet,Carpet,100% NZ Wool,"4, 5","Blank Canvas, Blueprint, Greyscale, Home Making, Landscape Plan, Modern Living, Open Space, Sight Line, Street View, Urban Vista",22.05,40.0,48.0,Yes,Yes,Yes,
