SKU,Product,Manufacturer,Supplier,Category,Type,Cost ex VAT,Sell ex VAT,Sell inc VAT,Notes,Discontinued?
AN94509CAT,AR3 SF 3mm Ramp - Onyx (900 mm),CAT,Ballister,Ancillaries,Profile,9.33,35.0,42.0,,
AN94584CAT,CAT Designer Home - Bright - Single (ANF) (900 mm),CAT,Ballister,Ancillaries,Profile,10.01,24.17,29.004,,
AN94750CAT,CAT Designer Home - Satin - Z-Section (A/10) (900 mm),CAT,Ballister,Ancillaries,Profile,13.84,24.17,29.004,,
AN94815CAT,AR3 SF 3mm Ramp - Brushed Stainless (900 mm),CAT,Ballister,Ancillaries,Profile,9.33,35.0,42.0,,
AN94903CAT,Feline BNF Single Profile - Chrome (900 mm),CAT,Ballister,Ancillaries,Profile,23.66,40.83,48.995999999999995,,
AN95107CAT,CAT Designer Home - Bright - Single (ANF) (2715 mm),CAT,Ballister,Ancillaries,Profile,30.02,65.83,78.996,,
AN96054CAT,CAT Designer Home - Light Bronze - Double (A/9/2) (2715 mm),CAT,Ballister,Ancillaries,Profile,46.44,65.83,78.996,,
AN96949CAT,CAT Designer Home - Light Bronze - Double (A/9/2) (900 mm),CAT,Ballister,Ancillaries,Profile,15.47,24.17,29.004,,
AN97814CAT,AR6 SF 6mm Ramp - Satin Bright (900 mm),CAT,Ballister,Ancillaries,Profile,9.33,35.0,42.0,,
AN99442CAT,FAB 2 Twin Top / Double Leg Carpet Trim - Satin Chrome (900 mm),CAT,Ballister,Ancillaries,Profile,27.94,45.83,54.995999999999995,,
AN99760CAT,CAT Solid Brass - Satin Brass - Z-Section (2715 mm),CAT,Ballister,Ancillaries,Profile,86.76,145.83,174.996,,
AN33487CAT,CAT Designer Home - Brushed Stainless - Z-Section (A/10) (900 mm),CAT,Ballister,Ancillaries,Profile,13.84,24.166666666667,29.000000000000398,,
AN98736CAT,Aluminium L Profile - Anthracite (2175 mm),CAT,Ballister,Ancillaries,Profile,70.23,87.5,105.0,,
AN37278CAT,AR3 SF 3mm Ramp - Designer Satin (900 mm),CAT,Ballister,Ancillaries,Profile,9.33,35.0,42.0,,
AN29956CAT,AR3 SF 3mm Ramp - Satin Bright (900 mm),CAT,Ballister,Ancillaries,Profile,9.33,35.0,42.0,,
AN62659CAT,AR3 SF 3mm Ramp - Light Bronze (2715 mm),CAT,Ballister,Ancillaries,Profile,28.01,87.5,105.0,,
AN13308CAT,CAT Solid Brass - Polished Brass -  Z-Section (900 mm),CAT,Ballister,Ancillaries,Profile,29.61,54.17,65.004,,
AN33030CAT,AC38 SF Cover Plate - Designer Satin (2715 mm),CAT,Ballister,Ancillaries,Profile,29.96,87.5,105.0,,
AN33522CAT,CAT Designer Home - Brushed Stainless - Double (A/9/2) (900 mm),CAT,Ballister,Ancillaries,Profile,15.47,24.166666666667,29.000000000000398,,
AN33633CAT,CAT Designer Home - Brushed Stainless - Z-Section (A/10) (2715 mm),CAT,Ballister,Ancillaries,Profile,41.54,65.83,78.996,,
AN34411CAT,AC38 SF Cover Plate - Piano Black (900 mm),CAT,Ballister,Ancillaries,Profile,9.99,35.0,42.0,,
AN34969CAT,AR6 SF 6mm Ramp - Pewter (2715 mm),CAT,Ballister,Ancillaries,Profile,28.01,87.5,105.0,,
AN46845GEN,Heavy Duty Spray Adhesive,Generic,Ballister,Ancillaries,Adhesive,2.19,9.17,11.004,,
AN45987GEN,5.5mm Ply (1.22 X 2.44),Generic,Ballister,Ancillaries,Sub floor works,16.5,32.5,39.0,,
AN75484GEN,Stick Down Cover Plate - Matt Silver (2715 mm),Generic,Ballister,Ancillaries,Profile,12.59,32.5,39.0,,
AN88068GEN,Stick Down Cover Plate - Matt Gold (2715 mm),Generic,Ballister,Ancillaries,Profile,12.59,32.5,39.0,,
AN57468GEN,Silicone - White (310 ml),Generic,Ballister,Ancillaries,Sealant,3.99,10.42,12.504,,
AN53747GEN,Silicone - Clear (310 ml),Generic,Ballister,Ancillaries,Sealant,3.99,10.42,12.504,,
AN89536GEN,Felt Paper Pad (1MW),Generic,Ballister,Ancillaries,Underlay,0.4,1.04,1.248,,
AN33949GRI,Gripperrods Tackfast Wood/Concrete Gripper Short Pin,Gripperrods,Ballister,Ancillaries,Gripper,0.21,0.79,0.948,,
AN68304INT,Duralay Durafit 650 (6.5 mm),Interfloor,Ballister,Ancillaries,Underlay,4.92,10.83,12.996,,
AN89160INT,Duralay King (8.3 mm),Interfloor,Ballister,Ancillaries,Underlay,5.62,10.83,12.996,,
AN60193REW,FlexyFix Adhesive (290 ml),Rewmar,Ballister,Ancillaries,Adhesive,0.43416666666667,12.5,15.0,,
AN59570STA,Premier DoubleZ 9 - Black (900mm),Stairrods,Ballister,Ancillaries,Profile,15.44,45.83,54.995999999999995,,
AN20261STA,12/14 mm Lip - Satin Brass (1800 mm),Stairrods,Ballister,Ancillaries,Profile,16.68,70.0,84.0,,
AN60594STA,12/14 mm Lip - Satin Brass (2700 mm),Stairrods,Ballister,Ancillaries,Profile,25.02,105.0,126.0,,
