Part Number,Manufacturer,Description,Range,Colour,Width,Cost per SQM (ex VAT),Sell per SQM (inc VAT),Category,Sub-Category,Notes
CA12670CRU,Crucial Trading,CT Sisal Harmony Boucle Pacific Blue HB250 (5 M),CT Sisal Harmony Boucle,Pacific Blue HB250,5.0,22.4,48.0,Carpet,Sisal,
CA11862CRU,Crucial Trading,CT Sisal Harmony Boucle Sweet Barley HB254 (5 M),CT Sisal Harmony Boucle,Sweet Barley HB254,5.0,22.4,48.0,Carpet,Sisal,
CA78335CRU,Crucial Trading,CT Sisal Harmony Boucle Warm Grey HB259 (5 M),CT Sisal Harmony Boucle,Warm Grey HB259,5.0,22.4,48.0,Carpet,Sisal,
CA19040CRU,Crucial Trading,CT Sisal Harmony Herringbone Dusty Stone HH264 (5 M),CT Sisal Harmony Herringbone,Dusty Stone HH264,5.0,23.5,51.0,Carpet,Sisal,
CA43465CRU,Crucial Trading,CT Sisal Harmony Herringbone Elegant Iron HH260 (5 M),CT Sisal Harmony Herringbone,Elegant Iron HH260,5.0,23.5,51.0,Carpet,Sisal,
CA33708CRU,Crucial Trading,CT Sisal Harmony Herringbone Fresh Silver HH261 (5 M),CT Sisal Harmony Herringbone,Fresh Silver HH261,5.0,23.5,51.0,Carpet,Sisal,
CA25052CRU,Crucial Trading,CT Sisal Harmony Herringbone Gentle Fawn HH265 (5 M),CT Sisal Harmony Herringbone,Gentle Fawn HH265,5.0,23.5,51.0,Carpet,Sisal,
CA23211CRU,Crucial Trading,CT Sisal Harmony Herringbone Light Caramel HH255 (5 M),CT Sisal Harmony Herringbone,Light Caramel HH255,5.0,23.5,51.0,Carpet,Sisal,
CA93765CRU,Crucial Trading,CT Sisal Harmony Herringbone Moon Frost HH257 (5 M),CT Sisal Harmony Herringbone,Moon Frost HH257,5.0,23.5,51.0,Carpet,Sisal,
CA89906CRU,Crucial Trading,CT Sisal Harmony Herringbone Pacific Blue HH250 (5 M),CT Sisal Harmony Herringbone,Pacific Blue HH250,5.0,23.5,51.0,Carpet,Sisal,
CA49924CRU,Crucial Trading,CT Sisal Harmony Herringbone Sweet Barley HH254 (5 M),CT Sisal Harmony Herringbone,Sweet Barley HH254,5.0,23.5,51.0,Carpet,Sisal,
CA58553CRU,Crucial Trading,CT Sisal Harmony Herringbone Warm Grey HH259 (5 M),CT Sisal Harmony Herringbone,Warm Grey HH259,5.0,23.5,51.0,Carpet,Sisal,
CA79042CRU,Crucial Trading,CT Sisal Harry Aluminium D704 (4 M),CT Sisal Harry,Aluminium D704,4.0,39.53,76.0,Carpet,Sisal,
CA13194CRU,Crucial Trading,CT Sisal Harry Gunmetal D706 (4 M),CT Sisal Harry,Gunmetal D706,4.0,39.53,76.0,Carpet,Sisal,
CA28267CRU,Crucial Trading,CT Sisal Harry Zinc D705 (4 M),CT Sisal Harry,Zinc D705,4.0,39.53,76.0,Carpet,Sisal,
CA95693CRU,Crucial Trading,CT Sisal Herringbone Flint E405 (4 M),CT Sisal Herringbone,Flint E405,4.0,30.19,62.0,Carpet,Sisal,
CA64053CRU,Crucial Trading,CT Sisal Herringbone Light Honey E400 (4 M),CT Sisal Herringbone,Light Honey E400,4.0,30.19,62.0,Carpet,Sisal,
CA79473CRU,Crucial Trading,CT Sisal Herringbone Mist E402 (4 M),CT Sisal Herringbone,Mist E402,4.0,30.19,62.0,Carpet,Sisal,
CA24250CRU,Crucial Trading,CT Sisal Herringbone Oatmeal E403 (4 M),CT Sisal Herringbone,Oatmeal E403,4.0,30.19,62.0,Carpet,Sisal,
CA91750CRU,Crucial Trading,CT Sisal Herringbone Topaz E110 (4 M),CT Sisal Herringbone,Topaz E110,4.0,30.19,62.0,Carpet,Sisal,
CA45273CRU,Crucial Trading,CT Sisal Malawi Bark SM104 (4 M),CT Sisal Malawi,Bark SM104,4.0,52.78,95.0,Carpet,Sisal,
CA23951CRU,Crucial Trading,CT Sisal Malawi Bark SM104 (5 M),CT Sisal Malawi,Bark SM104,5.0,52.78,95.0,Carpet,Sisal,
CA94376CRU,Crucial Trading,CT Sisal Malawi Coconut SM101 (4 M),CT Sisal Malawi,Coconut SM101,4.0,52.78,95.0,Carpet,Sisal,
CA61577CRU,Crucial Trading,CT Sisal Malawi Coconut SM101 (5 M),CT Sisal Malawi,Coconut SM101,5.0,52.78,95.0,Carpet,Sisal,
