Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Genoa 242 - Bone (5 M),CA46324RIV-0A961,Riviera,177.5,177.5,283.33333333333337,Carpet,Carpet,Riviera Genoa  242 - Bone 5,Price per SQM: £68.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Genoa 243 - Stone (5 M),CA46324RIV-0C481,Riviera,177.5,177.5,283.33333333333337,Carpet,Carpet,Riviera Genoa  243 - Stone 5,Price per SQM: £68.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Genoa 244 - Linen (5 M),CA46324RIV-E3E0B,Riviera,177.5,177.5,283.33333333333337,Carpet,Carpet,Riviera Genoa  244 - Linen 5,Price per SQM: £68.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Grand Piazza 1000 - San Marco (5 M),CA89443RIV-29886,Riviera,240.0,240.0,358.33333333333337,Carpet,Carpet,Riviera Grand Piazza 1000 - San Marco 5,Price per SQM: £86.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Grand Piazza 1001 - San Pietro (5 M),CA89443RIV-C9190,Riviera,240.0,240.0,358.33333333333337,Carpet,Carpet,Riviera Grand Piazza  1001 - San Pietro 5,Price per SQM: £86.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Grand Piazza 1002 - Del Campo (5 M),CA89443RIV-4D28A,Riviera,240.0,240.0,358.33333333333337,Carpet,Carpet,Riviera Grand Piazza  1002 - Del Campo 5,Price per SQM: £86.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Grand Piazza 1003 - Della Signoria (5 M),CA89443RIV-D6ADF,Riviera,240.0,240.0,358.33333333333337,Carpet,Carpet,Riviera Grand Piazza  1003 - Della Signoria 5,Price per SQM: £86.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Grand Piazza 1004 - Del Popolo (5 M),CA89443RIV-0DB3C,Riviera,240.0,240.0,358.33333333333337,Carpet,Carpet,Riviera Grand Piazza  1004 - Del Popolo 5,Price per SQM: £86.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Grand Piazza 1005 - Navona (5 M),CA89443RIV-77289,Riviera,240.0,240.0,358.33333333333337,Carpet,Carpet,Riviera Grand Piazza  1005 - Navona 5,Price per SQM: £86.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Grand Piazza 1006 - Del Duomo (5 M),CA89443RIV-CA493,Riviera,240.0,240.0,358.33333333333337,Carpet,Carpet,Riviera Grand Piazza  1006 - Del Duomo 5,Price per SQM: £86.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Hampstead 511 - Shadow (5 M),CA53446RIV-CE975,Riviera,246.5,246.5,370.83333333333337,Carpet,Carpet,Riviera Hampstead 511 - Shadow  5,Price per SQM: £89.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Hampstead 512 - Taupe Suede (5 M),CA53446RIV-A49BA,Riviera,246.5,246.5,370.83333333333337,Carpet,Carpet,Riviera Hampstead  512 - Taupe Suede  5,Price per SQM: £89.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Hampstead 513 - Wheatgrass (5 M),CA53446RIV-B1CF0,Riviera,246.5,246.5,370.83333333333337,Carpet,Carpet,Riviera Hampstead  513 - Wheatgrass  5,Price per SQM: £89.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
