Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Seagrass Panama (4 M),CA97489FIB-1B645,Fibre,47.0,47.0,93.33333333333334,Carpet,Seagrass,Fibre Seagrass Panama 4,"Price per SQM: £28.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Sisal 'Easyclean' Boucle Agate (4 M),CA21793FIB-3D9CF,Fibre,106.0,106.0,180.0,Carpet,Sisal,Fibre Sisal 'Easyclean' Boucle Agate 4,Price per SQM: £54.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Sisal 'Easyclean' Boucle Agate (5 M),CA21793FIB-56307,Fibre,132.5,132.5,225.0,Carpet,Sisal,Fibre Sisal 'Easyclean' Boucle Agate  5,Price per SQM: £54.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Sisal 'Easyclean' Boucle Anthracite (4 M),CA21793FIB-3E8EF,Fibre,106.0,106.0,180.0,Carpet,Sisal,Fibre Sisal 'Easyclean' Boucle  Anthracite 4,Price per SQM: £54.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Sisal 'Easyclean' Boucle Anthracite (5 M),CA21793FIB-272A0,Fibre,132.5,132.5,225.0,Carpet,Sisal,Fibre Sisal 'Easyclean' Boucle  Anthracite  5,Price per SQM: £54.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Sisal 'Easyclean' Boucle Citrine (4 M),CA21793FIB-97304,Fibre,106.0,106.0,180.0,Carpet,Sisal,Fibre Sisal 'Easyclean' Boucle  Citrine 4,Price per SQM: £54.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Sisal 'Easyclean' Boucle Citrine (5 M),CA21793FIB-56909,Fibre,132.5,132.5,225.0,Carpet,Sisal,Fibre Sisal 'Easyclean' Boucle  Citrine  5,Price per SQM: £54.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Sisal 'Easyclean' Boucle Jasper (4 M),CA21793FIB-A7331,Fibre,106.0,106.0,180.0,Carpet,Sisal,Fibre Sisal 'Easyclean' Boucle  Jasper 4,Price per SQM: £54.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Sisal 'Easyclean' Boucle Jasper (5 M),CA21793FIB-E0E31,Fibre,132.5,132.5,225.0,Carpet,Sisal,Fibre Sisal 'Easyclean' Boucle  Jasper  5,Price per SQM: £54.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Sisal 'Easyclean' Boucle Moonstone (4 M),CA21793FIB-20EA5,Fibre,106.0,106.0,180.0,Carpet,Sisal,Fibre Sisal 'Easyclean' Boucle  Moonstone 4,Price per SQM: £54.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
