Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Open Spaces Laneve Raglan Mata (4 M),CA78224ULS-C62A7,Ulster Carpets,114.0,114.0,183.33333333333331,Carpet,Carpet,Ulster Carpets Open Spaces Laneve Raglan  Mata  4,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Open Spaces Laneve Raglan Mata (5 M),CA78224ULS-84CF6,Ulster Carpets,142.5,142.5,229.16666666666663,Carpet,Carpet,Ulster Carpets Open Spaces Laneve Raglan  Mata  5,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Open Spaces Laneve Raglan Silica (1 M),CA78224ULS-7A67A,Ulster Carpets,28.5,28.5,45.83333333333333,Carpet,Carpet,Ulster Carpets Open Spaces Laneve Raglan  Silica 1,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Open Spaces Laneve Raglan Silica (2 M),CA78224ULS-296C1,Ulster Carpets,57.0,57.0,91.66666666666666,Carpet,Carpet,Ulster Carpets Open Spaces Laneve Raglan  Silica  2,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Open Spaces Laneve Raglan Silica (3 M),CA78224ULS-FCE73,Ulster Carpets,85.5,85.5,137.5,Carpet,Carpet,Ulster Carpets Open Spaces Laneve Raglan  Silica  3,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Open Spaces Laneve Raglan Silica (4 M),CA78224ULS-C91A7,Ulster Carpets,114.0,114.0,183.33333333333331,Carpet,Carpet,Ulster Carpets Open Spaces Laneve Raglan  Silica  4,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Open Spaces Laneve Raglan Silica (5 M),CA78224ULS-1FEBE,Ulster Carpets,142.5,142.5,229.16666666666663,Carpet,Carpet,Ulster Carpets Open Spaces Laneve Raglan  Silica  5,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Open Spaces Laneve Raglan Cape (1 M),CA78224ULS-F1578,Ulster Carpets,28.5,28.5,45.83333333333333,Carpet,Carpet,Ulster Carpets Open Spaces Laneve Raglan  Cape 1,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Open Spaces Laneve Raglan Cape (2 M),CA78224ULS-44544,Ulster Carpets,57.0,57.0,91.66666666666666,Carpet,Carpet,Ulster Carpets Open Spaces Laneve Raglan  Cape  2,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Open Spaces Laneve Raglan Cape (3 M),CA78224ULS-DEEB6,Ulster Carpets,85.5,85.5,137.5,Carpet,Carpet,Ulster Carpets Open Spaces Laneve Raglan  Cape  3,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Open Spaces Laneve Raglan Cape (4 M),CA78224ULS-94E42,Ulster Carpets,114.0,114.0,183.33333333333331,Carpet,Carpet,Ulster Carpets Open Spaces Laneve Raglan  Cape  4,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Open Spaces Laneve Raglan Cape (5 M),CA78224ULS-572E7,Ulster Carpets,142.5,142.5,229.16666666666663,Carpet,Carpet,Ulster Carpets Open Spaces Laneve Raglan  Cape  5,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Open Spaces Laneve Raglan Marl (1 M),CA78224ULS-5EDB6,Ulster Carpets,28.5,28.5,45.83333333333333,Carpet,Carpet,Ulster Carpets Open Spaces Laneve Raglan  Marl 1,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Open Spaces Laneve Raglan Marl (2 M),CA78224ULS-E6A26,Ulster Carpets,57.0,57.0,91.66666666666666,Carpet,Carpet,Ulster Carpets Open Spaces Laneve Raglan  Marl  2,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Open Spaces Laneve Raglan Marl (3 M),CA78224ULS-289A1,Ulster Carpets,85.5,85.5,137.5,Carpet,Carpet,Ulster Carpets Open Spaces Laneve Raglan  Marl  3,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Open Spaces Laneve Raglan Marl (4 M),CA78224ULS-63ADA,Ulster Carpets,114.0,114.0,183.33333333333331,Carpet,Carpet,Ulster Carpets Open Spaces Laneve Raglan  Marl  4,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Open Spaces Laneve Raglan Marl (5 M),CA78224ULS-EF949,Ulster Carpets,142.5,142.5,229.16666666666663,Carpet,Carpet,Ulster Carpets Open Spaces Laneve Raglan  Marl  5,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Open Spaces Laneve Raglan Burlap (1 M),CA78224ULS-AEACD,Ulster Carpets,28.5,28.5,45.83333333333333,Carpet,Carpet,Ulster Carpets Open Spaces Laneve Raglan  Burlap 1,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Open Spaces Laneve Raglan Burlap (2 M),CA78224ULS-B327D,Ulster Carpets,57.0,57.0,91.66666666666666,Carpet,Carpet,Ulster Carpets Open Spaces Laneve Raglan  Burlap  2,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Open Spaces Laneve Raglan Burlap (3 M),CA78224ULS-9CA21,Ulster Carpets,85.5,85.5,137.5,Carpet,Carpet,Ulster Carpets Open Spaces Laneve Raglan  Burlap  3,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Open Spaces Laneve Raglan Burlap (4 M),CA78224ULS-9AB0B,Ulster Carpets,114.0,114.0,183.33333333333331,Carpet,Carpet,Ulster Carpets Open Spaces Laneve Raglan  Burlap  4,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Open Spaces Laneve Raglan Burlap (5 M),CA78224ULS-F268E,Ulster Carpets,142.5,142.5,229.16666666666663,Carpet,Carpet,Ulster Carpets Open Spaces Laneve Raglan  Burlap  5,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Open Spaces Laneve Wellington Stripe Carbon (1 M),CA37188ULS-A64F8,Ulster Carpets,28.5,28.5,45.83333333333333,Carpet,Carpet,Ulster Carpets Open Spaces Laneve Wellington Stripe Carbon 1,Price per SQM: £55.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Open Spaces Laneve Wellington Stripe Carbon (2 M),CA37188ULS-386B2,Ulster Carpets,57.0,57.0,91.66666666666666,Carpet,Carpet,Ulster Carpets Open Spaces Laneve Wellington Stripe Carbon  2,Price per SQM: £55.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Open Spaces Laneve Wellington Stripe Carbon (3 M),CA37188ULS-7AAD5,Ulster Carpets,85.5,85.5,137.5,Carpet,Carpet,Ulster Carpets Open Spaces Laneve Wellington Stripe Carbon  3,Price per SQM: £55.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Open Spaces Laneve Wellington Stripe Carbon (4 M),CA37188ULS-D2812,Ulster Carpets,114.0,114.0,183.33333333333331,Carpet,Carpet,Ulster Carpets Open Spaces Laneve Wellington Stripe Carbon  4,Price per SQM: £55.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Open Spaces Laneve Wellington Stripe Carbon (5 M),CA37188ULS-FCB12,Ulster Carpets,142.5,142.5,229.16666666666663,Carpet,Carpet,Ulster Carpets Open Spaces Laneve Wellington Stripe Carbon  5,Price per SQM: £55.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Open Spaces Laneve Wellington Stripe Linnet (1 M),CA37188ULS-D6A22,Ulster Carpets,28.5,28.5,45.83333333333333,Carpet,Carpet,Ulster Carpets Open Spaces Laneve Wellington Stripe  Linnet 1,Price per SQM: £55.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Open Spaces Laneve Wellington Stripe Linnet (2 M),CA37188ULS-FAABD,Ulster Carpets,57.0,57.0,91.66666666666666,Carpet,Carpet,Ulster Carpets Open Spaces Laneve Wellington Stripe  Linnet  2,Price per SQM: £55.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Open Spaces Laneve Wellington Stripe Linnet (3 M),CA37188ULS-BD3DC,Ulster Carpets,85.5,85.5,137.5,Carpet,Carpet,Ulster Carpets Open Spaces Laneve Wellington Stripe  Linnet  3,Price per SQM: £55.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Open Spaces Laneve Wellington Stripe Linnet (4 M),CA37188ULS-D3F2E,Ulster Carpets,114.0,114.0,183.33333333333331,Carpet,Carpet,Ulster Carpets Open Spaces Laneve Wellington Stripe  Linnet  4,Price per SQM: £55.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Open Spaces Laneve Wellington Stripe Linnet (5 M),CA37188ULS-5F0DB,Ulster Carpets,142.5,142.5,229.16666666666663,Carpet,Carpet,Ulster Carpets Open Spaces Laneve Wellington Stripe  Linnet  5,Price per SQM: £55.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Open Spaces Laneve Wellington Stripe Quay (1 M),CA37188ULS-56463,Ulster Carpets,28.5,28.5,45.83333333333333,Carpet,Carpet,Ulster Carpets Open Spaces Laneve Wellington Stripe  Quay 1,Price per SQM: £55.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Open Spaces Laneve Wellington Stripe Quay (2 M),CA37188ULS-6B63B,Ulster Carpets,57.0,57.0,91.66666666666666,Carpet,Carpet,Ulster Carpets Open Spaces Laneve Wellington Stripe  Quay  2,Price per SQM: £55.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Open Spaces Laneve Wellington Stripe Quay (3 M),CA37188ULS-49B60,Ulster Carpets,85.5,85.5,137.5,Carpet,Carpet,Ulster Carpets Open Spaces Laneve Wellington Stripe  Quay  3,Price per SQM: £55.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Open Spaces Laneve Wellington Stripe Quay (4 M),CA37188ULS-5A479,Ulster Carpets,114.0,114.0,183.33333333333331,Carpet,Carpet,Ulster Carpets Open Spaces Laneve Wellington Stripe  Quay  4,Price per SQM: £55.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Open Spaces Laneve Wellington Stripe Quay (5 M),CA37188ULS-29B72,Ulster Carpets,142.5,142.5,229.16666666666663,Carpet,Carpet,Ulster Carpets Open Spaces Laneve Wellington Stripe  Quay  5,Price per SQM: £55.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Open Spaces Laneve Wellington Stripe Reed (1 M),CA37188ULS-84E02,Ulster Carpets,28.5,28.5,45.83333333333333,Carpet,Carpet,Ulster Carpets Open Spaces Laneve Wellington Stripe  Reed 1,Price per SQM: £55.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Open Spaces Laneve Wellington Stripe Reed (2 M),CA37188ULS-36C79,Ulster Carpets,57.0,57.0,91.66666666666666,Carpet,Carpet,Ulster Carpets Open Spaces Laneve Wellington Stripe  Reed  2,Price per SQM: £55.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Open Spaces Laneve Wellington Stripe Reed (3 M),CA37188ULS-84288,Ulster Carpets,85.5,85.5,137.5,Carpet,Carpet,Ulster Carpets Open Spaces Laneve Wellington Stripe  Reed  3,Price per SQM: £55.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Open Spaces Laneve Wellington Stripe Reed (4 M),CA37188ULS-9183F,Ulster Carpets,114.0,114.0,183.33333333333331,Carpet,Carpet,Ulster Carpets Open Spaces Laneve Wellington Stripe  Reed  4,Price per SQM: £55.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Open Spaces Laneve Wellington Stripe Reed (5 M),CA37188ULS-12256,Ulster Carpets,142.5,142.5,229.16666666666663,Carpet,Carpet,Ulster Carpets Open Spaces Laneve Wellington Stripe  Reed  5,Price per SQM: £55.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
