Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Durham Twist Colours 50 Olive Garden (4 M),CA76746HUG-13492,Hugh Mackay,85.12,85.12,153.33333333333334,Carpet,Carpet,Hugh Mackay Durham Twist Colours 50  Olive Garden 4,"Price per SQM: £46.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Durham Twist Colours 50 Olive Garden (5 M),CA76746HUG-F782B,Hugh Mackay,106.4,106.4,191.66666666666669,Carpet,Carpet,Hugh Mackay Durham Twist Colours 50  Olive Garden  5,"Price per SQM: £46.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Durham Twist Colours 50 Peaceful Glade (4 M),CA76746HUG-584B6,Hugh Mackay,85.12,85.12,153.33333333333334,Carpet,Carpet,Hugh Mackay Durham Twist Colours 50  Peaceful Glade 4,"Price per SQM: £46.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Durham Twist Colours 50 Peaceful Glade (5 M),CA76746HUG-6035A,Hugh Mackay,106.4,106.4,191.66666666666669,Carpet,Carpet,Hugh Mackay Durham Twist Colours 50  Peaceful Glade  5,"Price per SQM: £46.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Durham Twist Colours 50 Pistachio (4 M),CA76746HUG-61E91,Hugh Mackay,85.12,85.12,153.33333333333334,Carpet,Carpet,Hugh Mackay Durham Twist Colours 50  Pistachio 4,"Price per SQM: £46.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Durham Twist Colours 50 Pistachio (5 M),CA76746HUG-8110F,Hugh Mackay,106.4,106.4,191.66666666666669,Carpet,Carpet,Hugh Mackay Durham Twist Colours 50  Pistachio  5,"Price per SQM: £46.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Durham Twist Colours 50 Polaris Blue (4 M),CA76746HUG-07B3F,Hugh Mackay,85.12,85.12,153.33333333333334,Carpet,Carpet,Hugh Mackay Durham Twist Colours 50  Polaris Blue 4,"Price per SQM: £46.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Durham Twist Colours 50 Polaris Blue (5 M),CA76746HUG-A95AF,Hugh Mackay,106.4,106.4,191.66666666666669,Carpet,Carpet,Hugh Mackay Durham Twist Colours 50  Polaris Blue  5,"Price per SQM: £46.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Durham Twist Colours 50 Scarlet Ribbon (4 M),CA76746HUG-88469,Hugh Mackay,85.12,85.12,153.33333333333334,Carpet,Carpet,Hugh Mackay Durham Twist Colours 50  Scarlet Ribbon 4,"Price per SQM: £46.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Durham Twist Colours 50 Scarlet Ribbon (5 M),CA76746HUG-2FBF9,Hugh Mackay,106.4,106.4,191.66666666666669,Carpet,Carpet,Hugh Mackay Durham Twist Colours 50  Scarlet Ribbon  5,"Price per SQM: £46.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
