Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Cable Colour 1 (4 M),CA43081DAV-FA010,David Harper & Co,279.52,279.52,420.0,Carpet,Carpet,David Harper & Co Cable Colour 1 4,"Price per SQM: £126.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Cable Colour 3 (4 M),CA43081DAV-8AAC8,David Harper & Co,279.52,279.52,420.0,Carpet,Carpet,David Harper & Co Cable  Colour 3 4,"Price per SQM: £126.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Cable Colour 4 (4 M),CA43081DAV-E900F,David Harper & Co,279.52,279.52,420.0,Carpet,Carpet,David Harper & Co Cable  Colour 4 4,"Price per SQM: £126.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Cable Colour 5 (4 M),CA43081DAV-63A56,David Harper & Co,279.52,279.52,420.0,Carpet,Carpet,David Harper & Co Cable  Colour 5 4,"Price per SQM: £126.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Cairo Cameo (4 M),CA61760DAV-EC14F,David Harper & Co,274.48,274.48,413.33333333333337,Carpet,Carpet,David Harper & Co Cairo Cameo 4,Price per SQM: £124.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Cairo Ocean (4 M),CA61760DAV-8E474,David Harper & Co,274.48,274.48,413.33333333333337,Carpet,Carpet,David Harper & Co Cairo  Ocean 4,Price per SQM: £124.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Cairo Pewter (4 M),CA61760DAV-91CA0,David Harper & Co,274.48,274.48,413.33333333333337,Carpet,Carpet,David Harper & Co Cairo  Pewter 4,Price per SQM: £124.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Canton Cameo (4 M),CA78577DAV-EC14F,David Harper & Co,274.48,274.48,413.33333333333337,Carpet,Carpet,David Harper & Co Canton Cameo 4,Price per SQM: £124.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Canton Gault (4 M),CA78577DAV-49E8F,David Harper & Co,274.48,274.48,413.33333333333337,Carpet,Carpet,David Harper & Co Canton  Gault 4,Price per SQM: £124.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Canton Liquorice (4 M),CA78577DAV-5E845,David Harper & Co,274.48,274.48,413.33333333333337,Carpet,Carpet,David Harper & Co Canton  Liquorice 4,Price per SQM: £124.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Corinth Colour 1 (4 M),CA48588DAV-FA010,David Harper & Co,279.52,279.52,420.0,Carpet,Carpet,David Harper & Co Corinth Colour 1 4,"Price per SQM: £126.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Corinth Colour 2 (4 M),CA48588DAV-1FB78,David Harper & Co,279.52,279.52,420.0,Carpet,Carpet,David Harper & Co Corinth  Colour 2 4,"Price per SQM: £126.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Corinth Colour 3 (4 M),CA48588DAV-8AAC8,David Harper & Co,279.52,279.52,420.0,Carpet,Carpet,David Harper & Co Corinth  Colour 3 4,"Price per SQM: £126.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Corinth Colour 5 (4 M),CA48588DAV-63A56,David Harper & Co,279.52,279.52,420.0,Carpet,Carpet,David Harper & Co Corinth  Colour 5 4,"Price per SQM: £126.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Florence Colour 51 (4 M),CA27700DAV-EC428,David Harper & Co,241.96,241.96,363.33333333333337,Carpet,Carpet,David Harper & Co Florence Colour 51 4,"Price per SQM: £109.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Florence Colour 52 (4 M),CA27700DAV-E3CF3,David Harper & Co,241.96,241.96,363.33333333333337,Carpet,Carpet,David Harper & Co Florence  Colour 52 4,"Price per SQM: £109.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Florence Colour 53 (4 M),CA27700DAV-42035,David Harper & Co,241.96,241.96,363.33333333333337,Carpet,Carpet,David Harper & Co Florence  Colour 53 4,"Price per SQM: £109.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
