Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Annabelle III 848 (4 M),CA91106ROL-BB0A4,Rols,283.6,283.6,426.66666666666663,Carpet,Carpet,Rols Annabelle III  848  4,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 849 (2 M),CA91106ROL-901FD,Rols,141.8,141.8,213.33333333333331,Carpet,Carpet,Rols Annabelle III  849 2,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 849 (4 M),CA91106ROL-6C909,Rols,283.6,283.6,426.66666666666663,Carpet,Carpet,Rols Annabelle III  849  4,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 850 (2 M),CA91106ROL-B8B94,Rols,141.8,141.8,213.33333333333331,Carpet,Carpet,Rols Annabelle III  850 2,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 850 (4 M),CA91106ROL-2D373,Rols,283.6,283.6,426.66666666666663,Carpet,Carpet,Rols Annabelle III  850  4,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 851 (2 M),CA91106ROL-5D34F,Rols,141.8,141.8,213.33333333333331,Carpet,Carpet,Rols Annabelle III  851 2,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 851 (4 M),CA91106ROL-16DB4,Rols,283.6,283.6,426.66666666666663,Carpet,Carpet,Rols Annabelle III  851  4,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 852 (2 M),CA91106ROL-D5426,Rols,141.8,141.8,213.33333333333331,Carpet,Carpet,Rols Annabelle III  852 2,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 852 (4 M),CA91106ROL-7D245,Rols,283.6,283.6,426.66666666666663,Carpet,Carpet,Rols Annabelle III  852  4,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 853 (2 M),CA91106ROL-66FBE,Rols,141.8,141.8,213.33333333333331,Carpet,Carpet,Rols Annabelle III  853 2,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
