Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Tawnyard Tan (Engineered),WO15562BES,Bespoke by Woven & Woods,75.0,75.0,105.0,Wood,Herringbone,Bespoke by Woven & Woods Tawnyard Tan (Engineered),Price per SQM: £126.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Woolacombe White (Engineered),WO85318BES,Bespoke by Woven & Woods,75.0,75.0,105.0,Wood,Herringbone,Bespoke by Woven & Woods Woolacombe White (Engineered),Price per SQM: £126.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Clevedon Cream (Engineered),WO30388BES,Bespoke by Woven & Woods,75.0,75.0,105.0,Wood,Herringbone,Bespoke by Woven & Woods Clevedon Cream (Engineered),Price per SQM: £126.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Bempton Brown (Engineered),WO48311BES,Bespoke by Woven & Woods,75.0,75.0,105.0,Wood,Herringbone,Bespoke by Woven & Woods Bempton Brown (Engineered),Price per SQM: £126.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Cogley Carob (Engineered),WO54522BES,Bespoke by Woven & Woods,75.0,75.0,105.0,Wood,Herringbone,Bespoke by Woven & Woods Cogley Carob (Engineered),Price per SQM: £126.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Mealt Loch Mocha (Engineered),WO23516BES,Bespoke by Woven & Woods,75.0,75.0,105.0,Wood,Herringbone,Bespoke by Woven & Woods Mealt Loch Mocha (Engineered),Price per SQM: £126.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Sardinia Villamar (180),WO26206BES,Bespoke by Woven & Woods,61.95,61.95,86.66666666666666,Wood,Plank,Bespoke by Woven & Woods Sardinia Villamar (180),Price per SQM: £104.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Sardinia Soelli (180),WO67432BES,Bespoke by Woven & Woods,61.95,61.95,86.66666666666666,Wood,Plank,Bespoke by Woven & Woods Sardinia Soelli (180),Price per SQM: £104.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Sardinia Guspini (180),WO26164BES,Bespoke by Woven & Woods,61.95,61.95,86.66666666666666,Wood,Plank,Bespoke by Woven & Woods Sardinia Guspini (180),Price per SQM: £104.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Sardinia Posada (180),WO57957BES,Bespoke by Woven & Woods,61.95,61.95,86.66666666666666,Wood,Plank,Bespoke by Woven & Woods Sardinia Posada (180),Price per SQM: £104.00 inc VAT; Locations: None; Data synced from Rakata
Sardinia Pula (180),WO60019BES,Bespoke by Woven & Woods,56.95,56.95,80.0,Wood,Plank,Bespoke by Woven & Woods Sardinia Pula (180),Price per SQM: £96.00 inc VAT; Locations: None; Data synced from Rakata
Sardinia Neoneli (180),WO17541BES,Bespoke by Woven & Woods,61.95,61.95,86.66666666666666,Wood,Plank,Bespoke by Woven & Woods Sardinia Neoneli (180),Price per SQM: £104.00 inc VAT; Locations: None; Data synced from Rakata
Sardinia Pietra (180),WO17192BES,Bespoke by Woven & Woods,56.95,56.95,80.0,Wood,Plank,Bespoke by Woven & Woods Sardinia Pietra (180),Price per SQM: £96.00 inc VAT; Locations: None; Data synced from Rakata
Sardinia Florinas (180),WO24030BES,Bespoke by Woven & Woods,56.95,56.95,80.0,Wood,Plank,Bespoke by Woven & Woods Sardinia Florinas (180),Price per SQM: £96.00 inc VAT; Locations: None; Data synced from Rakata
Sardinia Loceri (180),WO48666BES,Bespoke by Woven & Woods,61.95,61.95,86.66666666666666,Wood,Plank,Bespoke by Woven & Woods Sardinia Loceri (180),Price per SQM: £104.00 inc VAT; Locations: None; Data synced from Rakata
Sardinia Villamar (Herringbone),WO89232BES,Bespoke by Woven & Woods,65.95,65.95,92.5,Wood,Herringbone,Bespoke by Woven & Woods Sardinia Villamar (Herringbone),Price per SQM: £111.00 inc VAT; Locations: None; Data synced from Rakata
Sardinia Soelli (Herringbone),WO94970BES,Bespoke by Woven & Woods,65.95,65.95,92.5,Wood,Herringbone,Bespoke by Woven & Woods Sardinia Soelli (Herringbone),Price per SQM: £111.00 inc VAT; Locations: None; Data synced from Rakata
Sardinia Guspini (Herringbone),WO34975BES,Bespoke by Woven & Woods,65.95,65.95,92.5,Wood,Herringbone,Bespoke by Woven & Woods Sardinia Guspini (Herringbone),Price per SQM: £111.00 inc VAT; Locations: None; Data synced from Rakata
Sardinia Posada (Herringbone),WO46369BES,Bespoke by Woven & Woods,60.95,60.95,85.0,Wood,Herringbone,Bespoke by Woven & Woods Sardinia Posada (Herringbone),Price per SQM: £102.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
