Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Baristi Herringbone Mandheling,WO51249VFX,V4,74.55,74.55,104.16666666666666,Wood,Herringbone,V4 Baristi Herringbone Mandheling,Price per SQM: £125.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Baristi Herringbone Pacamera,WO83461VFX,V4,74.55,74.55,104.16666666666666,Wood,Herringbone,V4 Baristi Herringbone Pacamera,Price per SQM: £125.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Baristi Herringbone Sidamo,WO38311VFX,V4,74.55,74.55,104.16666666666666,Wood,Herringbone,V4 Baristi Herringbone Sidamo,Price per SQM: £125.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Baristi Herringbone Smoked Villalobos,WO32047VFX,V4,87.05,87.05,117.5,Wood,Herringbone,V4 Baristi Herringbone Smoked Villalobos,Price per SQM: £141.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Baristi Herringbone Smoked Yunnan,WO30547VFX,V4,87.05,87.05,117.5,Wood,Herringbone,V4 Baristi Herringbone Smoked Yunnan,Price per SQM: £141.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Baristi Plank Baba Buden,WO85876VFX,V4,74.55,74.55,104.16666666666666,Wood,Plank,V4 Baristi Plank Baba Buden,Price per SQM: £125.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Baristi Plank Blue Mountain,WO91778VFX,V4,74.55,74.55,104.16666666666666,Wood,Plank,V4 Baristi Plank Blue Mountain,Price per SQM: £125.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Baristi Plank Catuai,WO81514VFX,V4,74.55,74.55,104.16666666666666,Wood,Plank,V4 Baristi Plank Catuai,Price per SQM: £125.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Baristi Plank Caturra,WO82988VFX,V4,74.55,74.55,104.16666666666666,Wood,Plank,V4 Baristi Plank Caturra,Price per SQM: £125.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Baristi Plank Geisha,WO77459VFX,V4,74.55,74.55,104.16666666666666,Wood,Plank,V4 Baristi Plank Geisha,Price per SQM: £125.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Baristi Plank Mandheling,WO74133VFX,V4,74.55,74.55,104.16666666666666,Wood,Plank,V4 Baristi Plank Mandheling,Price per SQM: £125.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Baristi Plank Pacamera,WO34462VFX,V4,74.55,74.55,104.16666666666666,Wood,Plank,V4 Baristi Plank Pacamera,Price per SQM: £125.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Baristi Plank Sidamo,WO24371VFX,V4,74.55,74.55,104.16666666666666,Wood,Plank,V4 Baristi Plank Sidamo,Price per SQM: £125.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Baristi Plank Smoked Villalobos,WO61606VFX,V4,87.05,87.05,117.5,Wood,Plank,V4 Baristi Plank Smoked Villalobos,Price per SQM: £141.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Baristi Plank Smoked Yunnan,WO75482VFX,V4,87.05,87.05,117.5,Wood,Plank,V4 Baristi Plank Smoked Yunnan,Price per SQM: £141.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Bjelin® Earth Grey Ash,WO48167VFX,V4,44.99,44.99,67.5,Wood,Plank,V4 Bjelin® Earth Grey Ash,Price per SQM: £81.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Bjelin® Earth Grey Oak,WO53407VFX,V4,39.99,39.99,61.66666666666667,Wood,Plank,V4 Bjelin® Earth Grey Oak,Price per SQM: £74.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
