Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Goodrich Ecru Oak,WO83762WOO,Woodpecker,54.5,54.5,76.66666666666667,Wood,Herringbone,Woodpecker Goodrich Ecru Oak,"Price per SQM: £92.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Goodrich Raw Oak,WO42241WOO,Woodpecker,56.5,56.5,79.16666666666667,Wood,Herringbone,Woodpecker Goodrich Raw Oak,Price per SQM: £95.00 inc VAT; Locations: None; Data synced from Rakata
Goodrich Raw Oak (Chevron),WO50391WOO,Woodpecker,66.5,66.5,93.33333333333334,Wood,Chevron,Woodpecker Goodrich Raw Oak (Chevron),Price per SQM: £112.00 inc VAT; Locations: None; Data synced from Rakata
Goodrich White Smoked Oak,WO51433WOO,Woodpecker,56.5,56.5,79.16666666666667,Wood,Herringbone,Woodpecker Goodrich White Smoked Oak,Price per SQM: £95.00 inc VAT; Locations: None; Data synced from Rakata
Goodrich Natural Oak,WO67960WOO,Woodpecker,50.0,50.0,70.0,Wood,Herringbone,Woodpecker Goodrich Natural Oak,"Price per SQM: £84.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Goodrich Coffee Oak,WO78355WOO,Woodpecker,54.5,54.5,76.66666666666667,Wood,Herringbone,Woodpecker Goodrich Coffee Oak,"Price per SQM: £92.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Goodrich Smoked Oak,WO78074WOO,Woodpecker,56.5,56.5,79.16666666666667,Wood,Herringbone,Woodpecker Goodrich Smoked Oak,"Price per SQM: £95.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Goodrich Espresso Oak,WO14635WOO,Woodpecker,56.5,56.5,79.16666666666667,Wood,Herringbone,Woodpecker Goodrich Espresso Oak,"Price per SQM: £95.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Goodrich Salted Oak,WO21246WOO,Woodpecker,64.5,64.5,90.0,Wood,Herringbone,Woodpecker Goodrich Salted Oak,"Price per SQM: £108.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Goodrich Barn Oak,WO68873WOO,Woodpecker,66.5,66.5,93.33333333333334,Wood,Herringbone,Woodpecker Goodrich Barn Oak,"Price per SQM: £112.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
