SKU,Product,Manufacturer,Category,Type,Thickness,Pack Quantity,Species,Finish,Width,Length,Cost ex VAT,Sell ex VAT,Sell inc VAT,Twickenham,Richmond,Discontinued?,Show on Website?
WO35992PAN,Satin - Classic (Diva 90) 1005768,Panaget,Wood,Plank,12/2.5,1.47,European Oak,Satin Lacquer,90,385 – 1180,48.00,71.67,86.00,,Yes,,Yes
WO83439PAN,Shabi Chaux - Zenitude (Alto 139) 1017702,Panaget,Wood,Plank,12/2.5,1.85,European Oak,Oil,139,1210,46.52,70.00,84.00,,Yes,,Yes
WO47702PAN,Topaze - Authentic (Diva 139) 1000297,Panaget,Wood,Plank,14/3.4,1.39,European Oak,Matt Lacquer,139,500 – 2000,45.45,68.33,82.00,,Yes,,Yes
WO78511PAN,Topaze - Authentic (Diva 184) 1000070,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Matt Lacquer,184,500 – 2000,56.10,78.33,94.00,Yes,,,Yes
WO37940PAN,Topaze - Authentic (Diva 223) 1016986,Panaget,Wood,Plank,15/4.5,1.78,European Oak,Matt Lacquer,223,700 – 2000,72.85,101.67,122.00,,Yes,,Yes
WO46287PAN,Topaze - Authentic (Herringbone 139) 1016618,Panaget,Wood,Herringbone,14/3.4,2.22,European Oak,Matt Lacquer,139,800,58.90,82.50,99.00,Yes,,,Yes
WO80712PAN,Topaze - Authentic (Sonate 140) 1000034,Panaget,Wood,Plank,14 (Solid),1.64,European Oak,Matt Lacquer,140,400 – 1300,65.82,92.50,111.00,,Yes,,Yes
WO73772PAN,Topaze - Classic (Chevron 90) 1005735,Panaget,Wood,Chevron,14/3.4,1.26,European Oak,Matt Lacquer,90,500,69.95,98.33,118.00,,Yes,,Yes
WO77551PAN,Topaze - Classic (Diva 184) 1006158,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Matt Lacquer,184,500 – 2000,59.00,82.50,99.00,,Yes,,Yes
WO11235PAN,Topaze - Classic/Authentic (Herringbone 90) 1020644,Panaget,Wood,Herringbone,12/2.5,1.91,European Oak,Matt Lacquer,90,590,44.20,66.67,80.00,,Yes,,Yes
WO29524PAN,Topaze - Tradition (Alto 139) 1017700,Panaget,Wood,Plank,12/2.5,1.85,European Oak,Matt Lacquer,139,1210,46.52,70.00,84.00,,Yes,,Yes
WO62056PAN,Tourbe - Zenitude (Diva 184) 1014165,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Matt Lacquer,184,500 – 2000,52.75,74.17,89.00,Yes,,,Yes
WO86987PAN,Tourbe - Zenitude/Origine (Diva 184) 1006552,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Oil,184,500 – 2000,57.75,80.83,97.00,,Yes,,Yes
WO96380PAN,Tufeau - Authentic (Diva 139) 1019707,Panaget,Wood,Plank,14/3.4,1.38,European Oak,Oil,139,495 – 1992,41.40,62.50,75.00,,Yes,,Yes
WO75688PAN,Tufeau - Authentic (Diva 184) 1014185,Panaget,Wood,Plank,15/4.5,1.84,European Oak,Oil,184,500 – 2000,77.23,108.33,130.00,,Yes,,Yes
WO88305PAN,Tufeau - Authentic (Herringbone 90) 1016743,Panaget,Wood,Herringbone,12/2.5,1.91,European Oak,Oil,90,590,44.20,66.67,80.00,Yes,Yes,,Yes
WO73968PAN,Tufeau - Zenitude (Diva 184) 1006551,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Oil,184,500 – 2000,57.75,80.83,97.00,,Yes,,Yes
WO31883PAN,Tufeau - Zenitude (Diva 184) 1007326,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Oil,184,500 – 2000,52.75,74.17,89.00,Yes,,,Yes
WO91511PAN,Tufeau - Zenitude/Origine (Herringbone 139) 1007658,Panaget,Wood,Herringbone,14/3.4,2.22,European Oak,Oil,139,800,52.75,74.17,89.00,,Yes,,Yes
WO28556PAN,White Oil - Zenitude (Diva 184) 1007644,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Oil,139,495 – 1992,37.65,58.33,70.00,Yes,,,Yes
WO82868PAR,Classic 3025 - Brushed & Matt Lacquer 1744854,Parador,Wood,Plank,13/2.5,3.663,European Oak,Lacquer,2200,185,36.39,61.67,74.00,,✓,,Yes
WO55496PAR,Classic 3025 - Oak Matt Lacquer 1744847,Parador,Wood,Plank,13/2.5,1.685,European Oak,Lacquer,2200,185,34.80,59.17,71.00,,✓,,Yes
