Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Heritage Colours Squares Linen White,RE60606HAR,Harvey Maria,22.73,22.73,36.666666666666664,Vinyl,LVT,Harvey Maria Heritage Colours Squares Linen White  Zinc,Price per SQM: £44.00 inc VAT; Locations: None
Heritage Colours Squares Stove Black,RE62374HAR,Harvey Maria,22.73,22.73,36.666666666666664,Vinyl,LVT,Harvey Maria Heritage Colours Squares Stove Black  Zinc,Price per SQM: £44.00 inc VAT; Locations: None
Lattice Cherry Red,RE88995HAR,Harvey Maria,27.13,27.13,43.75,Vinyl,LVT,Harvey Maria Lattice Cherry Red  Zinc,Price per SQM: £52.50 inc VAT; Locations: None
Lattice Cornflower Blue,RE21234HAR,Harvey Maria,27.13,27.13,43.75,Vinyl,LVT,Harvey Maria Lattice Cornflower Blue  Zinc,Price per SQM: £52.50 inc VAT; Locations: None
Lattice Hay Field,RE25066HAR,Harvey Maria,27.13,27.13,43.75,Vinyl,LVT,Harvey Maria Lattice Hay Field  Zinc,Price per SQM: £52.50 inc VAT; Locations: None
Lattice Hellebore,RE87414HAR,Harvey Maria,27.13,27.13,43.75,Vinyl,LVT,Harvey Maria Lattice Hellebore  Zinc,Price per SQM: £52.50 inc VAT; Locations: None
Lattice Mist,RE91729HAR,Harvey Maria,27.13,27.13,43.75,Vinyl,LVT,Harvey Maria Lattice Mist  Zinc,Price per SQM: £52.50 inc VAT; Locations: None
Lattice Pear Tree Green,RE76200HAR,Harvey Maria,27.13,27.13,43.75,Vinyl,LVT,Harvey Maria Lattice Pear Tree Green  Zinc,Price per SQM: £52.50 inc VAT; Locations: None
Lattice Pebble Grey,RE14624HAR,Harvey Maria,27.13,27.13,43.75,Vinyl,LVT,Harvey Maria Lattice Pebble Grey  Zinc,Price per SQM: £52.50 inc VAT; Locations: None
Lattice Seedpod,RE15282HAR,Harvey Maria,27.13,27.13,43.75,Vinyl,LVT,Harvey Maria Lattice Seedpod  Zinc,Price per SQM: £52.50 inc VAT; Locations: None
Lattice Strom Grey,RE36687HAR,Harvey Maria,27.13,27.13,43.75,Vinyl,LVT,Harvey Maria Lattice Strom Grey  Zinc,Price per SQM: £52.50 inc VAT; Locations: None
Lattice Tarn,RE39674HAR,Harvey Maria,27.13,27.13,43.75,Vinyl,LVT,Harvey Maria Lattice Tarn  Zinc,Price per SQM: £52.50 inc VAT; Locations: None
Organics Edge Cambrian,RE57159HAR,Harvey Maria,27.13,27.13,43.75,Vinyl,LVT,Harvey Maria Organics Edge Cambrian  Zinc,Price per SQM: £52.50 inc VAT; Locations: None
